event,gender,performance,points
50mH,MALE,5.95,1400.0
55m,MALE,5.79,1398.0
55mH,MALE,6.53,1398.0
60mH,MALE,6.95,1398.0
50m,MALE,5.38,1397.0
50mH,MALE,5.96,1396.0
60m,MALE,6.19,1395.0
60mH,MALE,6.96,1395.0
55mH,MALE,6.54,1394.0
50mH,MALE,5.97,1392.0
55m,MALE,5.8,1391.0
60mH,MALE,6.97,1391.0
50m,MALE,5.39,1390.0
55mH,MALE,6.55,1390.0
60m,MALE,6.2,1389.0
50mH,MALE,5.98,1387.0
60mH,MALE,6.98,1387.0
55mH,MALE,6.56,1386.0
55m,MALE,5.81,1385.0
60mH,MALE,6.99,1384.0
50m,MALE,5.4,1383.0
50mH,MALE,5.99,1383.0
60m,MALE,6.21,1382.0
55mH,MALE,6.57,1382.0
60mH,MALE,7.0,1380.0
50mH,MALE,6.0,1379.0
55m,MALE,5.82,1378.0
55mH,MALE,6.58,1378.0
50m,MALE,5.41,1376.0
60m,MALE,6.22,1376.0
60mH,MALE,7.01,1376.0
50mH,MALE,6.01,1374.0
55mH,MALE,6.59,1374.0
60mH,MALE,7.02,1373.0
55m,MALE,5.83,1371.0
60m,MALE,6.23,1370.0
50mH,MALE,6.02,1370.0
55mH,MALE,6.6,1370.0
60mH,MALE,7.03,1369.0
50m,MALE,5.42,1368.0
50mH,MALE,6.03,1366.0
55mH,MALE,6.61,1366.0
55m,MALE,5.84,1365.0
60mH,MALE,7.04,1365.0
60m,MALE,6.24,1364.0
60mH,MALE,7.05,1362.0
50m,MALE,5.43,1361.0
50mH,MALE,6.04,1361.0
55mH,MALE,6.62,1361.0
55m,MALE,5.85,1358.0
60m,MALE,6.25,1358.0
60mH,MALE,7.06,1358.0
50mH,MALE,6.05,1357.0
55mH,MALE,6.63,1357.0
60mH,MALE,7.07,1355.0
50m,MALE,5.44,1354.0
50mH,MALE,6.06,1353.0
55mH,MALE,6.64,1353.0
55m,MALE,5.86,1352.0
60m,MALE,6.26,1352.0
60mH,MALE,7.08,1351.0
55mH,MALE,6.65,1349.0
50mH,MALE,6.07,1348.0
50m,MALE,5.45,1347.0
60mH,MALE,7.09,1347.0
60m,MALE,6.27,1346.0
55m,MALE,5.87,1345.0
55mH,MALE,6.66,1345.0
50mH,MALE,6.08,1344.0
60mH,MALE,7.1,1344.0
55mH,MALE,6.67,1341.0
50m,MALE,5.46,1340.0
60m,MALE,6.28,1340.0
50mH,MALE,6.09,1340.0
60mH,MALE,7.11,1340.0
55m,MALE,5.88,1339.0
55mH,MALE,6.68,1337.0
60mH,MALE,7.12,1337.0
50mH,MALE,6.1,1335.0
60m,MALE,6.29,1334.0
55mH,MALE,6.69,1333.0
60mH,MALE,7.13,1333.0
50m,MALE,5.47,1332.0
55m,MALE,5.89,1332.0
50mH,MALE,6.11,1331.0
60mH,MALE,7.14,1330.0
55mH,MALE,6.7,1329.0
60m,MALE,6.3,1328.0
50mH,MALE,6.12,1327.0
55m,MALE,5.9,1326.0
60mH,MALE,7.15,1326.0
50m,MALE,5.48,1325.0
55mH,MALE,6.71,1325.0
50mH,MALE,6.13,1323.0
60m,MALE,6.31,1322.0
60mH,MALE,7.16,1322.0
55mH,MALE,6.72,1321.0
55m,MALE,5.91,1319.0
60mH,MALE,7.17,1319.0
50m,MALE,5.49,1318.0
50mH,MALE,6.14,1318.0
55mH,MALE,6.73,1317.0
60m,MALE,6.32,1316.0
60mH,MALE,7.18,1315.0
50mH,MALE,6.15,1314.0
55m,MALE,5.92,1313.0
55mH,MALE,6.74,1313.0
60mH,MALE,7.19,1312.0
50m,MALE,5.5,1311.0
60m,MALE,6.33,1310.0
50mH,MALE,6.16,1310.0
55mH,MALE,6.75,1309.0
60mH,MALE,7.2,1308.0
55m,MALE,5.93,1306.0
50mH,MALE,6.17,1306.0
55mH,MALE,6.76,1305.0
60mH,MALE,7.21,1305.0
50m,MALE,5.51,1304.0
60m,MALE,6.34,1304.0
50mH,MALE,6.18,1301.0
55mH,MALE,6.77,1301.0
60mH,MALE,7.22,1301.0
55m,MALE,5.94,1300.0
60m,MALE,6.35,1298.0
60mH,MALE,7.23,1298.0
50m,MALE,5.52,1297.0
50mH,MALE,6.19,1297.0
55mH,MALE,6.78,1297.0
55m,MALE,5.95,1294.0
55mH,MALE,6.79,1294.0
60mH,MALE,7.24,1294.0
50mH,MALE,6.2,1293.0
60m,MALE,6.36,1292.0
60mH,MALE,7.25,1291.0
50m,MALE,5.53,1290.0
55mH,MALE,6.8,1290.0
50mH,MALE,6.21,1289.0
55m,MALE,5.96,1287.0
60mH,MALE,7.26,1287.0
60m,MALE,6.37,1286.0
55mH,MALE,6.81,1286.0
50mH,MALE,6.22,1285.0
60mH,MALE,7.27,1284.0
50m,MALE,5.54,1283.0
55mH,MALE,6.82,1282.0
55m,MALE,5.97,1281.0
60m,MALE,6.38,1280.0
50mH,MALE,6.23,1280.0
60mH,MALE,7.28,1280.0
55mH,MALE,6.83,1278.0
60mH,MALE,7.29,1277.0
50m,MALE,5.55,1276.0
50mH,MALE,6.24,1276.0
55m,MALE,5.98,1275.0
60m,MALE,6.39,1274.0
55mH,MALE,6.84,1274.0
60mH,MALE,7.3,1273.0
50mH,MALE,6.25,1272.0
55mH,MALE,6.85,1270.0
60mH,MALE,7.31,1270.0
50m,MALE,5.56,1269.0
55m,MALE,5.99,1268.0
60m,MALE,6.4,1268.0
50mH,MALE,6.26,1268.0
55mH,MALE,6.86,1266.0
60mH,MALE,7.32,1266.0
50mH,MALE,6.27,1264.0
60mH,MALE,7.33,1263.0
50m,MALE,5.57,1262.0
55m,MALE,6.0,1262.0
60m,MALE,6.41,1262.0
55mH,MALE,6.87,1262.0
50mH,MALE,6.28,1260.0
60mH,MALE,7.34,1259.0
55mH,MALE,6.88,1258.0
55m,MALE,6.01,1256.0
60m,MALE,6.42,1256.0
60mH,MALE,7.35,1256.0
50m,MALE,5.58,1255.0
50mH,MALE,6.29,1255.0
55mH,MALE,6.89,1254.0
60mH,MALE,7.36,1252.0
50mH,MALE,6.3,1251.0
60m,MALE,6.43,1250.0
55mH,MALE,6.9,1250.0
55m,MALE,6.02,1249.0
60mH,MALE,7.37,1249.0
50m,MALE,5.59,1248.0
50mH,MALE,6.31,1247.0
55mH,MALE,6.91,1247.0
60mH,MALE,7.38,1245.0
60m,MALE,6.44,1244.0
55m,MALE,6.03,1243.0
50mH,MALE,6.32,1243.0
55mH,MALE,6.92,1243.0
60mH,MALE,7.39,1242.0
50m,MALE,5.6,1241.0
60m,MALE,6.45,1239.0
50mH,MALE,6.33,1239.0
55mH,MALE,6.93,1239.0
60mH,MALE,7.4,1238.0
55m,MALE,6.04,1237.0
50mH,MALE,6.34,1235.0
55mH,MALE,6.94,1235.0
60mH,MALE,7.41,1235.0
50m,MALE,5.61,1234.0
60m,MALE,6.46,1233.0
60mH,MALE,7.42,1232.0
55m,MALE,6.05,1231.0
50mH,MALE,6.35,1231.0
55mH,MALE,6.95,1231.0
60mH,MALE,7.43,1228.0
50m,MALE,5.62,1227.0
60m,MALE,6.47,1227.0
50mH,MALE,6.36,1227.0
55mH,MALE,6.96,1227.0
60mH,MALE,7.44,1225.0
55m,MALE,6.06,1224.0
50mH,MALE,6.37,1223.0
55mH,MALE,6.97,1223.0
60m,MALE,6.48,1221.0
60mH,MALE,7.45,1221.0
50m,MALE,5.63,1220.0
55mH,MALE,6.98,1220.0
55m,MALE,6.07,1218.0
50mH,MALE,6.38,1218.0
60mH,MALE,7.46,1218.0
55mH,MALE,6.99,1216.0
60m,MALE,6.49,1215.0
60mH,MALE,7.47,1215.0
50m,MALE,5.64,1214.0
50mH,MALE,6.39,1214.0
55m,MALE,6.08,1212.0
55mH,MALE,7.0,1212.0
60mH,MALE,7.48,1211.0
60m,MALE,6.5,1210.0
50mH,MALE,6.4,1210.0
55mH,MALE,7.01,1208.0
60mH,MALE,7.49,1208.0
50m,MALE,5.65,1207.0
55m,MALE,6.09,1206.0
50mH,MALE,6.41,1206.0
60m,MALE,6.51,1204.0
55mH,MALE,7.02,1204.0
60mH,MALE,7.5,1204.0
50mH,MALE,6.42,1202.0
55mH,MALE,7.03,1201.0
60mH,MALE,7.51,1201.0
50m,MALE,5.66,1200.0
55m,MALE,6.1,1200.0
60m,MALE,6.52,1198.0
50mH,MALE,6.43,1198.0
60mH,MALE,7.52,1198.0
55mH,MALE,7.04,1197.0
50mH,MALE,6.44,1194.0
60mH,MALE,7.53,1194.0
50m,MALE,5.67,1193.0
55m,MALE,6.11,1193.0
