100m,Men,9.46,1400.0
110mH,Men,12.28,1400.0
300m,Men,29.54,1400.0
400m,Men,41.97,1400.0
400mH,Men,44.86,1400.0
4x100m,Men,35.84,1400.0
4x200m,Men,1:15.42,1400.0
4x400m,Men,2:47.10,1400.0
200m,Men,18.9,1399.0
300m,Men,29.55,1399.0
400m,Men,41.98,1399.0
400mH,Men,44.88,1399.0
4x100m,Men,35.85,1399.0
4x200m,Men,1:15.44,1399.0
4x400m,Men,2:47.16,1399.0
110mH,Men,12.29,1398.0
200m,Men,18.91,1398.0
300m,Men,29.56,1398.0
400m,Men,41.99,1398.0
400mH,Men,44.89,1398.0
4x100m,Men,35.86,1398.0
4x200m,Men,1:15.46,1398.0
4x400m,Men,2:47.22,1398.0
300m,Men,29.57,1397.0
400m,Men,42.0,1397.0
400mH,Men,44.91,1397.0
4x100m,Men,35.88,1397.0
4x200m,Men,1:15.49,1397.0
4x400m,Men,2:47.28,1397.0
100m,Men,9.47,1396.0
110mH,Men,12.3,1396.0
200m,Men,18.92,1396.0
300m,Men,29.58,1396.0
400m,Men,42.02,1396.0
400mH,Men,44.93,1396.0
4x100m,Men,35.89,1396.0
4x200m,Men,1:15.51,1396.0
4x400m,Men,2:47.33,1396.0
300m,Men,29.59,1395.0
400m,Men,42.03,1395.0
400mH,Men,44.95,1395.0
4x100m,Men,35.9,1395.0
4x200m,Men,1:15.54,1395.0
4x400m,Men,2:47.39,1395.0
200m,Men,18.93,1394.0
300m,Men,29.6,1394.0
400m,Men,42.04,1394.0
400mH,Men,44.97,1394.0
4x100m,Men,35.91,1394.0
4x200m,Men,1:15.56,1394.0
4x400m,Men,2:47.45,1394.0
110mH,Men,12.31,1393.0
200m,Men,18.94,1393.0
300m,Men,29.61,1393.0
400m,Men,42.06,1393.0
400mH,Men,44.98,1393.0
4x100m,Men,35.92,1393.0
4x200m,Men,1:15.59,1393.0
4x400m,Men,2:47.51,1393.0
100m,Men,9.48,1392.0
300m,Men,29.62,1392.0
400m,Men,42.07,1392.0
400mH,Men,45.0,1392.0
4x100m,Men,35.94,1392.0
4x200m,Men,1:15.61,1392.0
4x400m,Men,2:47.57,1392.0
110mH,Men,12.32,1391.0
200m,Men,18.95,1391.0
400m,Men,42.08,1391.0
400mH,Men,45.02,1391.0
4x100m,Men,35.95,1391.0
4x200m,Men,1:15.64,1391.0
4x400m,Men,2:47.63,1391.0
300m,Men,29.63,1390.0
400m,Men,42.1,1390.0
400mH,Men,45.04,1390.0
4x100m,Men,35.96,1390.0
4x200m,Men,1:15.66,1390.0
4x400m,Men,2:47.69,1390.0
100m,Men,9.49,1389.0
110mH,Men,12.33,1389.0
200m,Men,18.96,1389.0
300m,Men,29.64,1389.0
400m,Men,42.11,1389.0
400mH,Men,45.06,1389.0
4x100m,Men,35.97,1389.0
4x200m,Men,1:15.69,1389.0
4x400m,Men,2:47.75,1389.0
200m,Men,18.97,1388.0
300m,Men,29.65,1388.0
400m,Men,42.12,1388.0
400mH,Men,45.08,1388.0
4x100m,Men,35.98,1388.0
4x200m,Men,1:15.71,1388.0
4x400m,Men,2:47.81,1388.0
110mH,Men,12.34,1387.0
300m,Men,29.66,1387.0
400m,Men,42.14,1387.0
400mH,Men,45.09,1387.0
4x100m,Men,36.0,1387.0
4x200m,Men,1:15.73,1387.0
4x400m,Men,2:47.87,1387.0
200m,Men,18.98,1386.0
300m,Men,29.67,1386.0
400m,Men,42.15,1386.0
400mH,Men,45.11,1386.0
4x100m,Men,36.01,1386.0
4x200m,Men,1:15.76,1386.0
4x400m,Men,2:47.93,1386.0
100m,Men,9.5,1385.0
110mH,Men,12.35,1385.0
300m,Men,29.68,1385.0
400m,Men,42.16,1385.0
400mH,Men,45.13,1385.0
4x100m,Men,36.02,1385.0
4x200m,Men,1:15.78,1385.0
4x400m,Men,2:47.99,1385.0
200m,Men,18.99,1384.0
300m,Men,29.69,1384.0
400m,Men,42.18,1384.0
400mH,Men,45.15,1384.0
4x100m,Men,36.03,1384.0
4x200m,Men,1:15.81,1384.0
4x400m,Men,2:48.05,1384.0
110mH,Men,12.36,1383.0
200m,Men,19.0,1383.0
300m,Men,29.7,1383.0
400m,Men,42.19,1383.0
400mH,Men,45.17,1383.0
4x100m,Men,36.04,1383.0
4x200m,Men,1:15.83,1383.0
4x400m,Men,2:48.11,1383.0
300m,Men,29.71,1382.0
400m,Men,42.2,1382.0
400mH,Men,45.18,1382.0
4x100m,Men,36.06,1382.0
4x200m,Men,1:15.86,1382.0
4x400m,Men,2:48.17,1382.0
100m,Men,9.51,1381.0
110mH,Men,12.37,1381.0
200m,Men,19.01,1381.0
300m,Men,29.72,1381.0
400m,Men,42.22,1381.0
400mH,Men,45.2,1381.0
4x100m,Men,36.07,1381.0
4x200m,Men,1:15.88,1381.0
4x400m,Men,2:48.23,1381.0
300m,Men,29.73,1380.0
400m,Men,42.23,1380.0
400mH,Men,45.22,1380.0
4x100m,Men,36.08,1380.0
4x200m,Men,1:15.91,1380.0
4x400m,Men,2:48.29,1380.0
110mH,Men,12.38,1379.0
200m,Men,19.02,1379.0
300m,Men,29.74,1379.0
400m,Men,42.24,1379.0
400mH,Men,45.24,1379.0
4x100m,Men,36.09,1379.0
