event,a,b,c,a2,b2,c2,name2,distance,performance_type
50m,33.0462434523,-12.0979307449,-0.2321096149,33.0462434523,-799.5823293287,4836.4137129025,TRACK_50,50,TIME
50mH,16.2126653261,-15.2953835346,-0.1053761359,16.2126653261,-495.9578685622,3792.8275322032,TRACK_50H,50,TIME
55m,27.6922288869,-13.1481380284,-0.3043705117,27.6922288869,-728.2024954374,4786.9490907949,TRACK_55,55,TIME
55mH,13.1982215478,-16.7954274775,-0.0911772754,13.1982215478,-443.3395456774,3722.9474163901,TRACK_55H,55,TIME
60m,24.9117754427,-13.9976515376,-0.2293776923,24.9117754427,-697.4127036588,4880.8406241592,TRACK_60,60,TIME
60mH,11.1682818890,-18.1940019446,0.0085061498,11.1682818890,-406.3914848107,3696.9522386036,TRACK_60H,60,TIME
200m,1.9616411646,-47.4976950867,-0.0697455752,1.9616411646,-186.3468678077,4425.4536081735,TRACK_200,200,TIME
300m,0.6595165231,-78.9940494903,0.0176083216,0.6595165231,-104.1957617267,4115.4401875781,TRACK_300,300,TIME
400m,0.3223966170,-111.9954899416,-0.0058333313,0.3223966170,-72.2139341501,4043.8116345444,TRACK_400,400,TIME
500m,0.1713990152,-150.4950203151,0.0051908612,0.1713990152,-51.5893965605,3881.9788325670,TRACK_500,500,TIME
600m,0.1063013220,-190.3440098081,0.0091340263,0.1063013220,-40.4676397720,3851.3955448630,TRACK_600,600,TIME
800m,0.0572001165,-263.9946646628,0.0030507986,0.0572001165,-30.2010511395,3986.4612348184,TRACK_800,800,TIME
1000m,0.0347303143,-340.3940084944,0.0038176306,0.0347303143,-23.6439817707,4024.1386834769,TRACK_1000,1000,TIME
1500m,0.0136499412,-539.9956644344,-0.0008961974,0.0136499412,-14.7418181790,3980.2580550783,TRACK_1500,1500,TIME
Mile,0.0115400273,-585.4943375501,0.0016038837,0.0115400273,-13.5132413169,3955.9647403777,TRACK_1MILE,1609,TIME
2000m,0.0068499998,-752.1949210708,0.0002786803,0.0068499998,-10.3050700748,3875.7109644599,TRACK_2000,2000,TIME
3000m,0.0025900009,-1199.9946258953,0.0005730322,0.0025900009,-6.2159744175,3729.5685208892,TRACK_3000,3000,TIME
2 Miles,0.0022019898,-1296.2971509252,-0.0015550154,0.0022019898,-5.7088660998,3700.1918750473,TRACK_2MILES,3218,TIME
5000m,0.0008250002,-2099.9945836524,0.0004364654,0.0008250002,-3.4649920480,3638.2327030354,TRACK_5000,5000,TIME
4x200m,0.0825999218,-211.9949807338,0.0007540780,0.0825999218,-35.0215376412,3712.1958528334,TRACK_4x200,800,TIME
4x400m,0.0155000012,-483.9954080687,-0.0021634214,0.0155000012,-15.0038588151,3630.8972214809,TRACK_4x400,1600,TIME
HJ,39.5579087445,10.5082093421,-4969.5880642855,39.5579087445,831.3655724460,-601.5063267492,HIGH_JUMP,,DISTANCE
LJ,1.9581140326,49.4597044183,-5024.0505434215,1.9581140326,193.6954825442,-233.9898865274,LONG_JUMP,,DISTANCE
TJ,0.4296645887,105.1320544518,-4980.6423815636,0.4296645887,90.3430418781,-231.6675825305,TRIPLE_JUMP,,DISTANCE
PV,3.9325797501,35.0265857026,-5029.8531935972,3.9325797501,275.4896832994,-205.1216924619,POLE_VAULT,,DISTANCE
SP,0.0462143876,657.3172794694,-19993.5978247992,0.0462143876,60.7550311138,-25.9319418889,SHOT_PUT,,DISTANCE
Pentathlon,0.0000029452,41021.7737084897,-4998.5983727330,0.0000029452,0.2416356714,-42.4364572270,PENTATHLON,,MULTI
