event,a,b,c,a2,b2,c2
100m,24.6422116633,-16.9975315583,-0.2186620480,24.6422116633,-837.7135408255,7119.3125114394,TRACK_100,100,TIME
200m,5.0833296257,-35.4911115974,0.0957410215,5.0833296257,-360.8260380643,6403.1543331082,TRACK_200,200,TIME
300m,1.8296570247,-57.1976881434,-0.0553585925,1.8296570247,-209.3043038213,5985.8057899258,TRACK_300,300,TIME
400m,1.0210130426,-78.9946930564,0.0029880052,1.0210130426,-161.3092238061,6371.2892988708,TRACK_400,400,TIME
600m,0.3669867740,-130.9961594799,-0.0103075994,0.3669867740,-96.1477159354,6297.4804575466,TRACK_600,600,TIME
800m,0.1980049254,-181.9938575678,0.0091543669,0.1980049254,-72.0713603907,6558.2816031975,TRACK_800,800,TIME
1000m,0.1074010815,-239.9941856026,0.0042507048,0.1074010815,-51.5512701944,6186.0068042451,TRACK_1000,1000,TIME
1500m,0.0406599253,-384.9950051367,0.0012055910,0.0406599253,-31.3077363002,6026.6622544548,TRACK_1500,1500,TIME
Mile,0.0350996776,-414.9960661793,-0.0028258109,0.0350996776,-29.1324562591,6044.9245470131,TRACK_1MILE,1609,TIME
2000m,0.0218100318,-527.9948241122,0.0001703359,0.0218100318,-23.0311678214,6080.1688718201,TRACK_2000,2000,TIME
3000m,0.0081500499,-839.9938439226,0.0015204438,0.0081500499,-13.6919835423,5750.5924637639,TRACK_3000,3000,TIME
2 Miles,0.0070299885,-904.7954323334,-0.0009453377,0.0070299885,-12.7214030014,5755.1327189262,TRACK_2MILES,3218,TIME
5000m,0.0027779979,-1439.9953256617,-0.0004296371,0.0027779979,-8.0006081123,5760.4187124727,TRACK_5000,5000,TIME
10000m,0.0005239994,-3149.9962170853,-0.0004979093,0.0005239994,-3.3011925260,5199.3714864247,TRACK_10000,10000,TIME
110mH,7.6652061276,-25.7930225928,0.0141087786,7.6652061276,-395.4176696527,5099.5225522446,TRACK_110H,110,TIME
400mH,0.5459888468,-95.4953371509,0.0002166679,0.5459888468,-104.2787780129,4979.0687486814,TRACK_400H,400,TIME
2000m SC,0.0102299858,-659.9952837440,-0.0004264088,0.0102299858,-13.5034847908,4456.1177116201,TRACK_2000SC,2000,TIME
3000m SC,0.0043159973,-1019.9952251094,-0.0005178463,0.0043159973,-8.8045933687,4490.3210797092,TRACK_3000SC,3000,TIME
4x100m,1.2360320754,-69.4946755547,0.0020228151,1.2360320754,-171.7952961096,5969.4312052981,TRACK_4x100,400,TIME
4x200m,0.2976775548,-143.9939035213,0.0118168894,0.2976775548,-85.7275062150,6172.1309464140,TRACK_4x200,800,TIME
4x400m,0.0502588314,-333.9973041754,-0.0080115351,0.0502588314,-33.5726283871,5606.5756761519,TRACK_4x400,1600,TIME
10 Miles,0.0001856969,-5243.8272704978,2.1908373776,0.0001856969,-1.9475248225,5108.4327246004,ROAD_10MILES,16093,TIME
10 km,0.0005287550,-3149.1524016199,0.0690327319,0.0005287550,-3.3302603273,5243.8176865964,ROAD_10KM,10000,TIME
15 km,0.0002162665,-4866.8767426681,0.2621735025,0.0002162665,-2.1050844187,5122.8553727470,ROAD_15KM,15000,TIME
20 km,0.0001152363,-6613.4486587645,5.5763256210,0.0001152363,-1.5242186433,5045.7471966627,ROAD_20KM,20000,TIME
HM,0.0001032128,-6977.9643482863,14.9732590349,0.0001032128,-1.4404307216,5040.6103696617,ROAD_HALF_MARATHON,21097,TIME
3km W,0.0012098241,-1649.4765816626,-0.0505185382,0.0012098241,-3.9911531900,3291.6063418071,WALK_3KM,3000,TIME
5km W,0.0004362569,-2759.0822412767,0.1020221477,0.0004362569,-2.4073374522,3321.1230286951,WALK_5KM,5000,TIME
10km W,0.0001117795,-5580.0003395636,-0.1522469484,0.0001117795,-1.2474591224,3480.2589162899,WALK_10KM,10000,TIME
HJ,32.1457081634,11.5936889433,-5026.0808417004,32.1457081634,745.3746826142,-705.2597334942,HIGH_JUMP,,DISTANCE
LJ,1.9310928730,48.3486190515,-4993.8077931235,1.9310928730,186.7313473363,-479.7064044571,LONG_JUMP,,DISTANCE
TJ,0.4603666024,98.8014630138,-5008.9686647032,0.4603666024,90.9697876805,-514.9946082622,TRIPLE_JUMP,,DISTANCE
DT,0.0040063129,2232.9834114813,-20003.5249226571,0.0040063129,17.8920605010,-27.1877746460,DISCUS_THROW,,DISTANCE
HT,0.0028034429,2669.7566381795,-20002.8716570753,0.0028034429,14.9690203439,-21.0509420452,HAMMER_THROW,,DISTANCE
JT,0.0024031525,2879.7978639657,-19950.9683606244,0.0024031525,13.8411868132,-21.0582509536,JAVELIN_THROW,,DISTANCE
PV,3.0457199209,39.3358603090,-4993.2138282251,3.0457199209,239.6120266961,-280.5412229935,POLE_VAULT,,DISTANCE
SP,0.0423461436,684.8281542324,-19915.7245727669,0.0423461436,57.9996626593,-55.8236102462,SHOT_PUT,,DISTANCE
Decathlon,0.0000009772,71186.6785041732,-5001.0472144005,0.0000009772,0.1391296438,-48.9586025648,DECATHLON,,MULTI
