event,a,b,c
50m,33.0462434523,-12.0979307449,-0.2321096149
50mH,16.2126653261,-15.2953835346,-0.1053761359
55m,27.6922288869,-13.1481380284,-0.3043705117
55mH,13.1982215478,-16.7954274775,-0.0911772754
60m,24.9117754427,-13.9976515376,-0.2293776923
60mH,11.1682818890,-18.1940019446,0.0085061498
200m,1.9616411646,-47.4976950867,-0.0697455752
300m,0.6595165231,-78.9940494903,0.0176083216
400m,0.3223966170,-111.9954899416,-0.0058333313
500m,0.1713990152,-150.4950203151,0.0051908612
600m,0.1063013220,-190.3440098081,0.0091340263
800m,0.0572001165,-263.9946646628,0.0030507986
1000m,0.0347303143,-340.3940084944,0.0038176306
1500m,0.0136499412,-539.9956644344,-0.0008961974
Mile,0.0115400273,-585.4943375501,0.0016038837
2000m,0.0068499998,-752.1949210708,0.0002786803
3000m,0.0025900009,-1199.9946258953,0.0005730322
2 Miles,0.0022019898,-1296.2971509252,-0.0015550154
5000m,0.0008250002,-2099.9945836524,0.0004364654
4x200m,0.0825999218,-211.9949807338,0.0007540780
4x400m,0.0155000012,-483.9954080687,-0.0021634214
HJ,39.5579087445,10.5082093421,-4969.5880642855
LJ,1.9581140326,49.4597044183,-5024.0505434215
TJ,0.4296645887,105.1320544518,-4980.6423815636
PV,3.9325797501,35.0265857026,-5029.8531935972
SP,0.0462143876,657.3172794694,-19993.5978247992
Pentathlon,0.0000029452,41021.7737084897,-4998.5983727330
