event,a,b,c
50m,95.8223538630,-9.1994010874,-0.3765978316
50mH,34.2123772242,-12.3484992509,-0.2978589247
55m,78.9227608846,-9.9991682963,-0.3262593216
55mH,30.0853077082,-13.3476676416,-0.2329919571
60m,68.6203220047,-10.6992800164,-0.3594275681
60mH,23.9163242706,-14.5966339421,-0.1644943777
200m,5.0432159856,-35.9910107213,0.1193936923
300m,1.8029166507,-57.9959412461,-0.0339878087
400m,0.9810343085,-80.5943092492,0.0100805172
500m,0.5649640314,-105.9967162205,-0.0223133096
600m,0.3899861153,-130.9961383961,-0.0107176039
800m,0.1973925611,-183.9969956062,-0.0163487860
1000m,0.1138977865,-239.9960148998,-0.0046409292
1500m,0.0419999885,-385.9950544882,-0.0003541283
Mile,0.0369000074,-414.9952787475,-0.0011489453
2000m,0.0226000035,-527.9948971024,0.0000435776
3000m,0.0083219192,-839.9970746667,-0.0027639444
2 Miles,0.0072099692,-906.9958053163,-0.0012099440
5000m,0.0029000031,-1439.9944442896,0.0004079214
4x200m,0.3119844823,-143.9971416694,-0.0252237437
4x400m,0.0489005767,-339.9937188583,0.0054240683
HJ,32.1457081634,11.5936889433,-5026.0808417004
LJ,1.9310928730,48.3486190515,-4993.8077931235
TJ,0.4603666024,98.8014630138,-5008.9686647032
PV,3.0457199209,39.3358603090,-4993.2138282251
SP,0.0423461436,684.8281542324,-19915.7245727669
Heptathlon,0.0000017511,53203.5391079802,-5002.8876894102
