performance,points
498.93,1400
499.22,1399
499.50,1398
499.79,1397
500.07,1396
500.36,1395
500.64,1394
500.93,1393
501.21,1392
501.50,1391
501.79,1390
502.07,1389
502.36,1388
502.64,1387
502.93,1386
503.22,1385
503.50,1384
503.79,1383
504.08,1382
504.36,1381
504.65,1380
504.94,1379
505.22,1378
505.51,1377
505.80,1376
506.08,1375
506.37,1374
506.66,1373
506.95,1372
507.23,1371
507.52,1370
507.81,1369
508.10,1368
508.39,1367
508.68,1366
508.96,1365
509.25,1364
509.54,1363
509.83,1362
510.12,1361
510.41,1360
510.70,1359
510.98,1358
511.27,1357
511.56,1356
511.85,1355
512.14,1354
512.43,1353
512.72,1352
513.01,1351
513.30,1350
513.59,1349
513.88,1348
514.17,1347
514.46,1346
514.75,1345
515.04,1344
515.33,1343
515.62,1342
515.92,1341
516.21,1340
516.50,1339
516.79,1338
517.08,1337
517.37,1336
517.66,1335
517.96,1334
518.25,1333
518.54,1332
518.83,1331
519.12,1330
519.42,1329
519.71,1328
520.00,1327
520.29,1326
520.59,1325
520.88,1324
521.17,1323
521.46,1322
521.76,1321
522.05,1320
522.34,1319
522.64,1318
522.93,1317
523.22,1316
523.52,1315
523.81,1314
524.11,1313
524.40,1312
524.69,1311
524.99,1310
525.28,1309
525.58,1308
525.87,1307
526.17,1306
526.46,1305
526.76,1304
527.05,1303
527.35,1302
527.64,1301
527.94,1300
528.23,1299
528.53,1298
528.83,1297
529.12,1296
529.42,1295
529.71,1294
530.01,1293
530.31,1292
530.60,1291
530.90,1290
531.20,1289
531.49,1288
531.79,1287
532.09,1286
532.38,1285
532.68,1284
532.98,1283
533.28,1282
533.57,1281
533.87,1280
534.17,1279
534.47,1278
534.77,1277
535.06,1276
535.36,1275
535.66,1274
535.96,1273
536.26,1272
536.56,1271
536.86,1270
537.15,1269
537.45,1268
537.75,1267
538.05,1266
538.35,1265
538.65,1264
538.95,1263
539.25,1262
539.55,1261
539.85,1260
540.15,1259
540.45,1258
540.75,1257
541.05,1256
541.35,1255
541.65,1254
541.96,1253
542.26,1252
542.56,1251
542.86,1250
543.16,1249
543.46,1248
543.76,1247
544.07,1246
544.37,1245
544.67,1244
544.97,1243
545.27,1242
545.58,1241
545.88,1240
546.18,1239
546.48,1238
546.79,1237
547.09,1236
547.39,1235
547.70,1234
548.00,1233
548.30,1232
548.61,1231
548.91,1230
549.21,1229
549.52,1228
549.82,1227
550.13,1226
550.43,1225
550.74,1224
551.04,1223
551.35,1222
551.65,1221
551.96,1220
552.26,1219
552.57,1218
552.87,1217
553.18,1216
553.48,1215
553.79,1214
554.09,1213
554.40,1212
554.71,1211
555.01,1210
555.32,1209
555.62,1208
555.93,1207
556.24,1206
556.55,1205
556.85,1204
557.16,1203
557.47,1202
557.77,1201
558.08,1200
558.39,1199
558.70,1198
559.00,1197
559.31,1196
559.62,1195
559.93,1194
560.24,1193
560.55,1192
560.86,1191
561.16,1190
561.47,1189
561.78,1188
562.09,1187
562.40,1186
562.71,1185
563.02,1184
563.33,1183
563.64,1182
563.95,1181
564.26,1180
564.57,1179
564.88,1178
565.19,1177
565.50,1176
565.81,1175
566.12,1174
566.43,1173
566.74,1172
567.06,1171
567.37,1170
567.68,1169
567.99,1168
568.30,1167
568.61,1166
568.93,1165
569.24,1164
569.55,1163
569.86,1162
570.18,1161
570.49,1160
570.80,1159
571.12,1158
571.43,1157
571.74,1156
572.06,1155
572.37,1154
572.68,1153
573.00,1152
573.31,1151
573.62,1150
573.94,1149
574.25,1148
574.57,1147
574.88,1146
575.20,1145
575.51,1144
575.83,1143
576.14,1142
576.46,1141
576.77,1140
577.09,1139
577.40,1138
577.72,1137
578.04,1136
578.35,1135
578.67,1134
578.99,1133
579.30,1132
579.62,1131
579.94,1130
580.25,1129
580.57,1128
580.89,1127
581.21,1126
581.52,1125
581.84,1124
582.16,1123
582.48,1122
582.79,1121
583.11,1120
583.43,1119
583.75,1118
584.07,1117
584.39,1116
584.71,1115
585.03,1114
585.35,1113
585.66,1112
585.98,1111
586.30,1110
586.62,1109
586.94,1108
587.26,1107
587.58,1106
587.90,1105
588.23,1104
588.55,1103
588.87,1102
589.19,1101
589.51,1100
589.83,1099
590.15,1098
590.47,1097
590.80,1096
591.12,1095
591.44,1094
591.76,1093
592.08,1092
592.41,1091
592.73,1090
593.05,1089
593.38,1088
593.70,1087
594.02,1086
594.34,1085
594.67,1084
594.99,1083
595.32,1082
595.64,1081
595.96,1080
596.29,1079
596.61,1078
596.94,1077
597.26,1076
597.59,1075
597.91,1074
598.24,1073
598.56,1072
598.89,1071
599.21,1070
599.54,1069
599.87,1068
600.19,1067
600.52,1066
600.84,1065
601.17,1064
601.50,1063
601.82,1062
602.15,1061
602.48,1060
602.81,1059
603.13,1058
603.46,1057
603.79,1056
604.12,1055
604.45,1054
604.77,1053
605.10,1052
605.43,1051
605.76,1050
606.09,1049
606.42,1048
606.75,1047
607.08,1046
607.41,1045
607.74,1044
608.07,1043
608.40,1042
608.73,1041
609.06,1040
609.39,1039
609.72,1038
610.05,1037
610.38,1036
610.71,1035
611.04,1034
611.37,1033
611.70,1032
612.04,1031
612.37,1030
612.70,1029
613.03,1028
613.36,1027
613.70,1026
614.03,1025
614.36,1024
614.70,1023
615.03,1022
615.36,1021
615.70,1020
616.03,1019
616.36,1018
616.70,1017
617.03,1016
617.37,1015
617.70,1014
618.04,1013
618.37,1012
618.71,1011
619.04,1010
619.38,1009
619.71,1008
620.05,1007
620.38,1006
620.72,1005
621.05,1004
621.39,1003
621.73,1002
622.06,1001
622.40,1000
622.74,999
623.08,998
623.41,997
623.75,996
624.09,995
624.43,994
624.76,993
625.10,992
625.44,991
625.78,990
626.12,989
626.46,988
626.80,987
627.14,986
627.47,985
627.81,984
628.15,983
628.49,982
628.83,981
629.17,980
629.51,979
629.86,978
630.20,977
630.54,976
630.88,975
631.22,974
631.56,973
631.90,972
632.24,971
632.59,970
632.93,969
633.27,968
633.61,967
633.96,966
634.30,965
634.64,964
634.99,963
635.33,962
635.67,961
636.02,960
636.36,959
636.70,958
637.05,957
637.39,956
637.74,955
638.08,954
638.43,953
638.77,952
639.12,951
639.46,950
639.81,949
640.16,948
640.50,947
640.85,946
641.20,945
641.54,944
641.89,943
642.24,942
642.58,941
642.93,940
643.28,939
643.63,938
643.97,937
644.32,936
644.67,935
645.02,934
645.37,933
645.72,932
646.07,931
646.42,930
646.77,929
647.11,928
647.46,927
647.81,926
648.16,925
648.52,924
648.87,923
649.22,922
649.57,921
649.92,920
650.27,919
650.62,918
650.97,917
651.33,916
651.68,915
652.03,914
652.38,913
652.74,912
653.09,911
653.44,910
653.79,909
654.15,908
654.50,907
654.86,906
655.21,905
655.56,904
655.92,903
656.27,902
656.63,901
656.98,900
657.34,899
657.69,898
658.05,897
658.41,896
658.76,895
659.12,894
659.47,893
659.83,892
660.19,891
660.55,890
660.90,889
661.26,888
661.62,887
661.98,886
662.33,885
662.69,884
663.05,883
663.41,882
663.77,881
664.13,880
664.49,879
664.85,878
665.21,877
665.57,876
665.93,875
666.29,874
666.65,873
667.01,872
667.37,871
667.73,870
668.09,869
668.45,868
668.81,867
669.18,866
669.54,865
669.90,864
670.26,863
670.63,862
670.99,861
671.35,860
671.72,859
672.08,858
672.44,857
672.81,856
673.17,855
673.54,854
673.90,853
674.27,852
674.63,851
675.00,850
675.36,849
675.73,848
676.09,847
676.46,846
676.83,845
677.19,844
677.56,843
677.93,842
678.29,841
678.66,840
679.03,839
679.40,838
679.77,837
680.13,836
680.50,835
680.87,834
681.24,833
681.61,832
681.98,831
682.35,830
682.72,829
683.09,828
683.46,827
683.83,826
684.20,825
684.57,824
684.94,823
685.31,822
685.69,821
686.06,820
686.43,819
686.80,818
687.18,817
687.55,816
687.92,815
688.30,814
688.67,813
689.04,812
689.42,811
689.79,810
690.17,809
690.54,808
690.91,807
691.29,806
691.67,805
692.04,804
692.42,803
692.79,802
693.17,801
693.55,800
693.92,799
694.30,798
694.68,797
695.05,796
695.43,795
695.81,794
696.19,793
696.57,792
696.95,791
697.33,790
697.70,789
698.08,788
698.46,787
698.84,786
699.22,785
699.60,784
699.98,783
700.37,782
700.75,781
701.13,780
701.51,779
701.89,778
702.27,777
702.66,776
703.04,775
703.42,774
703.80,773
704.19,772
704.57,771
704.96,770
705.34,769
705.72,768
706.11,767
706.49,766
706.88,765
707.26,764
707.65,763
708.04,762
708.42,761
708.81,760
709.19,759
709.58,758
709.97,757
710.36,756
710.74,755
711.13,754
711.52,753
711.91,752
712.30,751
712.69,750
713.08,749
713.46,748
713.85,747
714.24,746
714.63,745
715.03,744
715.42,743
715.81,742
716.20,741
716.59,740
716.98,739
717.37,738
717.77,737
718.16,736
718.55,735
718.94,734
719.34,733
719.73,732
720.13,731
720.52,730
720.91,729
721.31,728
721.70,727
722.10,726
722.50,725
722.89,724
723.29,723
723.68,722
724.08,721
724.48,720
724.87,719
725.27,718
725.67,717
726.07,716
726.47,715
726.86,714
727.26,713
727.66,712
728.06,711
728.46,710
728.86,709
729.26,708
729.66,707
730.06,706
730.47,705
730.87,704
731.27,703
731.67,702
732.07,701
732.48,700
732.88,699
733.28,698
733.68,697
734.09,696
734.49,695
734.90,694
735.30,693
735.71,692
736.11,691
736.52,690
736.92,689
737.33,688
737.74,687
738.14,686
738.55,685
738.96,684
739.36,683
739.77,682
740.18,681
740.59,680
741.00,679
741.41,678
741.82,677
742.22,676
742.63,675
743.05,674
743.46,673
743.87,672
744.28,671
744.69,670
745.10,669
745.51,668
745.93,667
746.34,666
746.75,665
747.16,664
747.58,663
747.99,662
748.41,661
748.82,660
749.24,659
749.65,658
750.07,657
750.48,656
750.90,655
751.32,654
751.73,653
752.15,652
752.57,651
752.98,650
753.40,649
753.82,648
754.24,647
754.66,646
755.08,645
755.50,644
755.92,643
756.34,642
756.76,641
757.18,640
757.60,639
758.02,638
758.45,637
758.87,636
759.29,635
759.71,634
760.14,633
760.56,632
760.98,631
761.41,630
761.83,629
762.26,628
762.68,627
763.11,626
763.54,625
763.96,624
764.39,623
764.82,622
765.24,621
765.67,620
766.10,619
766.53,618
766.96,617
767.39,616
767.81,615
768.24,614
768.67,613
769.11,612
769.54,611
769.97,610
770.40,609
770.83,608
771.26,607
771.70,606
772.13,605
772.56,604
773.00,603
773.43,602
773.86,601
774.30,600
774.73,599
775.17,598
775.61,597
776.04,596
776.48,595
776.92,594
777.35,593
777.79,592
778.23,591
778.67,590
779.11,589
779.55,588
779.99,587
780.43,586
780.87,585
781.31,584
781.75,583
782.19,582
782.63,581
783.07,580
783.52,579
783.96,578
784.40,577
784.85,576
785.29,575
785.73,574
786.18,573
786.62,572
787.07,571
787.52,570
787.96,569
788.41,568
788.86,567
789.30,566
789.75,565
790.20,564
790.65,563
791.10,562
791.55,561
792.00,560
792.45,559
792.90,558
793.35,557
793.80,556
794.26,555
794.71,554
795.16,553
795.61,552
796.07,551
796.52,550
796.98,549
797.43,548
797.89,547
798.34,546
798.80,545
799.26,544
799.71,543
800.17,542
800.63,541
801.09,540
801.55,539
802.00,538
802.46,537
802.92,536
803.38,535
803.85,534
804.31,533
804.77,532
805.23,531
805.69,530
806.16,529
806.62,528
807.08,527
807.55,526
808.01,525
808.48,524
808.94,523
809.41,522
809.88,521
810.34,520
810.81,519
811.28,518
811.75,517
812.22,516
812.69,515
813.16,514
813.63,513
814.10,512
814.57,511
815.04,510
815.51,509
815.98,508
816.46,507
816.93,506
817.40,505
817.88,504
818.35,503
818.83,502
819.30,501
819.78,500
820.26,499
820.73,498
821.21,497
821.69,496
822.17,495
822.65,494
823.13,493
823.61,492
824.09,491
824.57,490
825.05,489
825.53,488
826.02,487
826.50,486
826.98,485
827.47,484
827.95,483
828.44,482
828.92,481
829.41,480
829.89,479
830.38,478
830.87,477
831.36,476
831.85,475
832.34,474
832.82,473
833.31,472
833.81,471
834.30,470
834.79,469
835.28,468
835.77,467
836.27,466
836.76,465
837.26,464
837.75,463
838.25,462
838.74,461
839.24,460
839.74,459
840.23,458
840.73,457
841.23,456
841.73,455
842.23,454
842.73,453
843.23,452
843.73,451
844.23,450
844.74,449
845.24,448
845.74,447
846.25,446
846.75,445
847.26,444
847.76,443
848.27,442
848.78,441
849.28,440
849.79,439
850.30,438
850.81,437
851.32,436
851.83,435
852.34,434
852.85,433
853.37,432
853.88,431
854.39,430
854.91,429
855.42,428
855.94,427
856.45,426
856.97,425
857.49,424
858.01,423
858.52,422
859.04,421
859.56,420
860.08,419
860.60,418
861.12,417
861.65,416
862.17,415
862.69,414
863.22,413
863.74,412
864.27,411
864.79,410
865.32,409
865.85,408
866.37,407
866.90,406
867.43,405
867.96,404
868.49,403
869.02,402
869.55,401
870.09,400
870.62,399
871.15,398
871.69,397
872.22,396
872.76,395
873.30,394
873.83,393
874.37,392
874.91,391
875.45,390
875.99,389
876.53,388
877.07,387
877.61,386
878.16,385
878.70,384
879.24,383
879.79,382
880.33,381
880.88,380
881.43,379
881.97,378
882.52,377
883.07,376
883.62,375
884.17,374
884.72,373
885.28,372
885.83,371
886.38,370
886.94,369
887.49,368
888.05,367
888.60,366
889.16,365
889.72,364
890.28,363
890.84,362
891.40,361
891.96,360
892.52,359
893.08,358
893.65,357
894.21,356
894.78,355
895.34,354
895.91,353
896.48,352
897.05,351
897.61,350
898.18,349
