performance,points
32.92,1400
32.94,1399
32.95,1398
32.97,1397
32.99,1396
33.00,1395
33.02,1394
33.04,1393
33.05,1392
33.07,1391
33.09,1390
33.10,1389
33.12,1388
33.14,1387
33.15,1386
33.17,1385
33.18,1384
33.20,1383
33.22,1382
33.23,1381
33.25,1380
33.27,1379
33.28,1378
33.30,1377
33.32,1376
33.33,1375
33.35,1374
33.37,1373
33.38,1372
33.40,1371
33.42,1370
33.43,1369
33.45,1368
33.47,1367
33.48,1366
33.50,1365
33.52,1364
33.53,1363
33.55,1362
33.57,1361
33.58,1360
33.60,1359
33.62,1358
33.63,1357
33.65,1356
33.67,1355
33.68,1354
33.70,1353
33.72,1352
33.73,1351
33.75,1350
33.77,1349
33.78,1348
33.80,1347
33.82,1346
33.84,1345
33.85,1344
33.87,1343
33.89,1342
33.90,1341
33.92,1340
33.94,1339
33.95,1338
33.97,1337
33.99,1336
34.00,1335
34.02,1334
34.04,1333
34.05,1332
34.07,1331
34.09,1330
34.10,1329
34.12,1328
34.14,1327
34.16,1326
34.17,1325
34.19,1324
34.21,1323
34.22,1322
34.24,1321
34.26,1320
34.27,1319
34.29,1318
34.31,1317
34.32,1316
34.34,1315
34.36,1314
34.38,1313
34.39,1312
34.41,1311
34.43,1310
34.44,1309
34.46,1308
34.48,1307
34.49,1306
34.51,1305
34.53,1304
34.55,1303
34.56,1302
34.58,1301
34.60,1300
34.61,1299
34.63,1298
34.65,1297
34.67,1296
34.68,1295
34.70,1294
34.72,1293
34.73,1292
34.75,1291
34.77,1290
34.79,1289
34.80,1288
34.82,1287
34.84,1286
34.85,1285
34.87,1284
34.89,1283
34.91,1282
34.92,1281
34.94,1280
34.96,1279
34.97,1278
34.99,1277
35.01,1276
35.03,1275
35.04,1274
35.06,1273
35.08,1272
35.09,1271
35.11,1270
35.13,1269
35.15,1268
35.16,1267
35.18,1266
35.20,1265
35.22,1264
35.23,1263
35.25,1262
35.27,1261
35.29,1260
35.30,1259
35.32,1258
35.34,1257
35.35,1256
35.37,1255
35.39,1254
35.41,1253
35.42,1252
35.44,1251
35.46,1250
35.48,1249
35.49,1248
35.51,1247
35.53,1246
35.55,1245
35.56,1244
35.58,1243
35.60,1242
35.62,1241
35.63,1240
35.65,1239
35.67,1238
35.69,1237
35.70,1236
35.72,1235
35.74,1234
35.76,1233
35.77,1232
35.79,1231
35.81,1230
35.83,1229
35.84,1228
35.86,1227
35.88,1226
35.90,1225
35.91,1224
35.93,1223
35.95,1222
35.97,1221
35.98,1220
36.00,1219
36.02,1218
36.04,1217
36.06,1216
36.07,1215
36.09,1214
36.11,1213
36.13,1212
36.14,1211
36.16,1210
36.18,1209
36.20,1208
36.21,1207
36.23,1206
36.25,1205
36.27,1204
36.29,1203
36.30,1202
36.32,1201
36.34,1200
36.36,1199
36.37,1198
36.39,1197
36.41,1196
36.43,1195
36.45,1194
36.46,1193
36.48,1192
36.50,1191
36.52,1190
36.53,1189
36.55,1188
36.57,1187
36.59,1186
36.61,1185
36.62,1184
36.64,1183
36.66,1182
36.68,1181
36.70,1180
36.71,1179
36.73,1178
36.75,1177
36.77,1176
36.79,1175
36.80,1174
36.82,1173
36.84,1172
36.86,1171
36.88,1170
36.89,1169
36.91,1168
36.93,1167
36.95,1166
36.97,1165
36.98,1164
37.00,1163
37.02,1162
37.04,1161
37.06,1160
37.07,1159
37.09,1158
37.11,1157
37.13,1156
37.15,1155
37.16,1154
37.18,1153
37.20,1152
37.22,1151
37.24,1150
37.25,1149
37.27,1148
37.29,1147
37.31,1146
37.33,1145
37.35,1144
37.36,1143
37.38,1142
37.40,1141
37.42,1140
37.44,1139
37.46,1138
37.47,1137
37.49,1136
37.51,1135
37.53,1134
37.55,1133
37.56,1132
37.58,1131
37.60,1130
37.62,1129
37.64,1128
37.66,1127
37.67,1126
37.69,1125
37.71,1124
37.73,1123
37.75,1122
37.77,1121
37.79,1120
37.80,1119
37.82,1118
37.84,1117
37.86,1116
37.88,1115
37.90,1114
37.91,1113
37.93,1112
37.95,1111
37.97,1110
37.99,1109
38.01,1108
38.02,1107
38.04,1106
38.06,1105
38.08,1104
38.10,1103
38.12,1102
38.14,1101
38.15,1100
38.17,1099
38.19,1098
38.21,1097
38.23,1096
38.25,1095
38.27,1094
38.28,1093
38.30,1092
38.32,1091
38.34,1090
38.36,1089
38.38,1088
38.40,1087
38.42,1086
38.43,1085
38.45,1084
38.47,1083
38.49,1082
38.51,1081
38.53,1080
38.55,1079
38.57,1078
38.58,1077
38.60,1076
38.62,1075
38.64,1074
38.66,1073
38.68,1072
38.70,1071
38.72,1070
38.73,1069
38.75,1068
38.77,1067
38.79,1066
38.81,1065
38.83,1064
38.85,1063
38.87,1062
38.89,1061
38.90,1060
38.92,1059
38.94,1058
38.96,1057
38.98,1056
39.00,1055
39.02,1054
39.04,1053
39.06,1052
39.07,1051
39.09,1050
39.11,1049
39.13,1048
39.15,1047
39.17,1046
39.19,1045
39.21,1044
39.23,1043
39.25,1042
39.27,1041
39.28,1040
39.30,1039
39.32,1038
39.34,1037
39.36,1036
39.38,1035
39.40,1034
39.42,1033
39.44,1032
39.46,1031
39.48,1030
39.49,1029
39.51,1028
39.53,1027
39.55,1026
39.57,1025
39.59,1024
39.61,1023
39.63,1022
39.65,1021
