performance,points
20.78,1400
20.79,1399
20.80,1398
20.81,1397
20.82,1396
20.83,1395
20.84,1394
20.85,1393
20.86,1392
20.87,1391
20.88,1390
20.89,1389
20.90,1388
20.91,1387
20.92,1386
20.93,1385
20.94,1384
20.95,1383
20.96,1381
20.97,1380
20.98,1379
20.99,1378
21.00,1377
21.01,1376
21.02,1375
21.03,1374
21.04,1373
21.05,1372
21.06,1371
21.07,1370
21.08,1369
21.09,1368
21.10,1367
21.11,1366
21.12,1365
21.13,1364
21.14,1363
21.15,1362
21.16,1361
21.17,1360
21.18,1359
21.19,1358
21.20,1357
21.21,1356
21.22,1355
21.23,1354
21.24,1352
21.25,1351
21.26,1350
21.27,1349
21.28,1348
21.29,1347
21.30,1346
21.31,1345
21.32,1344
21.33,1343
21.34,1342
21.35,1341
21.36,1340
21.37,1339
21.38,1338
21.39,1337
21.40,1336
21.41,1335
21.42,1334
21.43,1333
21.44,1332
21.45,1331
21.46,1330
21.47,1329
21.48,1328
21.49,1327
21.50,1326
21.51,1325
21.52,1324
21.53,1323
21.54,1322
21.55,1321
21.56,1320
21.57,1319
21.58,1318
21.59,1317
21.60,1316
21.61,1315
21.62,1314
21.63,1313
21.64,1312
21.65,1311
21.66,1310
21.67,1309
21.68,1308
21.69,1306
21.70,1305
21.71,1304
21.72,1303
21.73,1302
21.74,1301
21.75,1300
21.76,1299
21.77,1298
21.78,1297
21.79,1296
21.80,1295
21.81,1294
21.82,1293
21.83,1292
21.84,1291
21.85,1290
21.86,1289
21.87,1288
21.88,1287
21.89,1286
21.90,1285
21.91,1284
21.92,1283
21.93,1282
21.94,1281
21.95,1280
21.96,1279
21.97,1278
21.98,1277
21.99,1276
22.00,1275
22.01,1274
22.02,1273
22.03,1272
22.04,1271
22.05,1270
22.06,1269
22.07,1268
22.08,1267
22.09,1266
22.10,1265
22.11,1264
22.12,1263
22.13,1262
22.14,1261
22.15,1260
22.16,1259
22.17,1258
22.18,1257
22.19,1256
22.20,1255
22.21,1254
22.22,1253
22.23,1252
22.24,1251
22.25,1250
22.26,1249
22.27,1248
22.28,1247
22.29,1246
22.30,1245
22.31,1244
22.32,1243
22.33,1242
22.35,1241
22.36,1240
22.37,1239
22.38,1238
22.39,1237
22.40,1236
22.41,1235
22.42,1234
22.43,1233
22.44,1232
22.45,1231
22.46,1230
22.47,1229
22.48,1228
22.49,1227
22.50,1226
22.51,1225
22.52,1224
22.53,1223
22.54,1222
22.55,1221
22.56,1220
22.57,1219
22.58,1218
22.59,1217
22.60,1216
22.61,1215
22.62,1214
22.63,1213
22.64,1212
22.65,1211
22.66,1210
22.67,1209
22.68,1208
22.69,1207
22.70,1206
22.71,1205
22.72,1204
22.73,1203
22.74,1202
22.75,1201
22.76,1200
22.77,1199
22.78,1198
22.79,1197
22.81,1196
22.82,1195
22.83,1194
22.84,1193
22.85,1192
22.86,1191
22.87,1190
22.88,1189
22.89,1188
22.90,1187
22.91,1186
22.92,1185
22.93,1184
22.94,1183
22.95,1182
22.96,1181
22.97,1180
22.98,1179
22.99,1178
23.00,1177
23.01,1176
23.02,1175
23.03,1174
23.04,1173
23.05,1172
23.06,1171
23.08,1170
23.09,1169
23.10,1168
23.11,1167
23.12,1166
23.13,1165
23.14,1164
23.15,1163
23.16,1162
23.17,1161
23.18,1160
23.19,1159
23.20,1158
23.21,1157
23.22,1156
23.23,1155
23.24,1154
23.25,1153
23.26,1152
23.27,1151
23.28,1150
23.30,1149
23.31,1148
23.32,1147
23.33,1146
23.34,1145
23.35,1144
23.36,1143
23.37,1142
23.38,1141
23.39,1140
23.40,1139
23.41,1138
23.42,1137
23.43,1136
23.44,1135
23.45,1134
23.46,1133
23.47,1132
23.49,1131
23.50,1130
23.51,1129
23.52,1128
23.53,1127
23.54,1126
23.55,1125
23.56,1124
23.57,1123
23.58,1122
23.59,1121
23.60,1120
23.61,1119
23.62,1118
23.63,1117
23.65,1116
23.66,1115
23.67,1114
23.68,1113
23.69,1112
23.70,1111
23.71,1110
23.72,1109
23.73,1108
23.74,1107
23.75,1106
23.76,1105
23.77,1104
23.78,1103
23.80,1102
23.81,1101
23.82,1100
23.83,1099
23.84,1098
23.85,1097
23.86,1096
23.87,1095
23.88,1094
23.89,1093
23.90,1092
23.91,1091
23.92,1090
23.94,1089
23.95,1088
23.96,1087
23.97,1086
23.98,1085
23.99,1084
24.00,1083
24.01,1082
24.02,1081
24.03,1080
24.04,1079
24.05,1078
24.07,1077
24.08,1076
24.09,1075
24.10,1074
24.11,1073
24.12,1072
24.13,1071
24.14,1070
24.15,1069
24.16,1068
24.17,1067
24.19,1066
24.20,1065
24.21,1064
24.22,1063
24.23,1062
24.24,1061
24.25,1060
24.26,1059
24.27,1058
24.28,1057
24.30,1056
24.31,1055
24.32,1054
24.33,1053
24.34,1052
24.35,1051
24.36,1050
24.37,1049
24.38,1048
24.39,1047
24.41,1046
24.42,1045
24.43,1044
24.44,1043
24.45,1042
24.46,1041
24.47,1040
24.48,1039
24.49,1038
24.50,1037
24.52,1036
24.53,1035
24.54,1034
24.55,1033
24.56,1032
24.57,1031
24.58,1030
24.59,1029
24.60,1028
24.62,1027
24.63,1026
24.64,1025
24.65,1024
24.66,1023
24.67,1022
24.68,1021
24.69,1020
24.71,1019
24.72,1018
24.73,1017
24.74,1016
24.75,1015
24.76,1014
24.77,1013
24.78,1012
24.79,1011
24.81,1010
24.82,1009
24.83,1008
24.84,1007
24.85,1006
24.86,1005
24.87,1004
24.88,1003
24.90,1002
24.91,1001
24.92,1000
24.93,999
24.94,998
24.95,997
24.96,996
24.98,995
24.99,994
25.00,993
25.01,992
25.02,991
25.03,990
25.04,989
25.05,988
25.07,987
25.08,986
25.09,985
25.10,984
25.11,983
25.12,982
25.13,981
25.15,980
25.16,979
25.17,978
25.18,977
25.19,976
25.20,975
25.21,974
25.23,973
25.24,972
25.25,971
25.26,970
25.27,969
25.28,968
25.29,967
25.31,966
25.32,965
25.33,964
25.34,963
25.35,962
25.36,961
25.37,960
25.39,959
25.40,958
25.41,957
25.42,956
25.43,955
25.44,954
25.46,953
25.47,952
25.48,951
25.49,950
25.50,949
25.51,948
25.53,947
25.54,946
25.55,945
25.56,944
25.57,943
25.58,942
25.59,941
25.61,940
25.62,939
25.63,938
25.64,937
25.65,936
25.66,935
25.68,934
25.69,933
25.70,932
25.71,931
25.72,930
25.74,929
25.75,928
25.76,927
25.77,926
25.78,925
25.79,924
25.81,923
25.82,922
25.83,921
25.84,920
25.85,919
25.86,918
25.88,917
25.89,916
25.90,915
25.91,914
25.92,913
25.94,912
25.95,911
25.96,910
25.97,909
25.98,908
25.99,907
26.01,906
26.02,905
26.03,904
26.04,903
26.05,902
26.07,901
26.08,900
26.09,899
26.10,898
26.11,897
26.13,896
26.14,895
26.15,894
26.16,893
26.17,892
26.18,891
26.20,890
26.21,889
26.22,888
26.23,887
26.24,886
26.26,885
26.27,884
26.28,883
26.29,882
26.30,881
26.32,880
26.33,879
26.34,878
26.35,877
26.36,876
26.38,875
26.39,874
26.40,873
26.41,872
26.43,871
26.44,870
26.45,869
26.46,868
26.47,867
26.49,866
26.50,865
26.51,864
26.52,863
26.53,862
26.55,861
26.56,860
26.57,859
26.58,858
26.60,857
26.61,856
26.62,855
26.63,854
26.64,853
26.66,852
26.67,851
26.68,850
26.69,849
26.71,848
26.72,847
26.73,846
26.74,845
26.75,844
26.77,843
26.78,842
26.79,841
26.80,840
26.82,839
26.83,838
26.84,837
26.85,836
26.87,835
26.88,834
26.89,833
26.90,832
26.91,831
26.93,830
26.94,829
26.95,828
26.96,827
26.98,826
26.99,825
27.00,824
27.01,823
27.03,822
27.04,821
27.05,820
27.06,819
27.08,818
27.09,817
27.10,816
27.11,815
27.13,814
27.14,813
27.15,812
27.16,811
27.18,810
27.19,809
27.20,808
27.21,807
27.23,806
27.24,805
27.25,804
27.26,803
27.28,802
27.29,801
27.30,800
27.31,799
27.33,798
27.34,797
27.35,796
27.37,795
27.38,794
27.39,793
27.40,792
27.42,791
27.43,790
27.44,789
27.45,788
27.47,787
27.48,786
27.49,785
27.51,784
27.52,783
27.53,782
27.54,781
27.56,780
27.57,779
27.58,778
27.59,777
27.61,776
27.62,775
27.63,774
27.65,773
27.66,772
27.67,771
27.68,770
27.70,769
27.71,768
27.72,767
27.74,766
27.75,765
27.76,764
27.77,763
27.79,762
27.80,761
27.81,760
27.83,759
27.84,758
27.85,757
27.87,756
27.88,755
27.89,754
27.90,753
27.92,752
27.93,751
27.94,750
27.96,749
27.97,748
27.98,747
28.00,746
28.01,745
28.02,744
28.03,743
28.05,742
28.06,741
28.07,740
28.09,739
28.10,738
28.11,737
28.13,736
28.14,735
28.15,734
28.17,733
28.18,732
28.19,731
28.21,730
28.22,729
28.23,728
28.25,727
28.26,726
28.27,725
28.29,724
28.30,723
28.31,722
28.33,721
28.34,720
28.35,719
28.37,718
28.38,717
28.39,716
28.41,715
28.42,714
28.43,713
28.45,712
28.46,711
28.47,710
28.49,709
28.50,708
28.51,707
28.53,706
28.54,705
28.55,704
28.57,703
28.58,702
28.59,701
28.61,700
28.62,699
28.63,698
28.65,697
28.66,696
28.67,695
28.69,694
28.70,693
28.71,692
28.73,691
28.74,690
28.76,689
28.77,688
28.78,687
28.80,686
28.81,685
28.82,684
28.84,683
28.85,682
28.86,681
28.88,680
28.89,679
28.91,678
28.92,677
28.93,676
28.95,675
28.96,674
28.97,673
28.99,672
29.00,671
29.02,670
29.03,669
29.04,668
29.06,667
29.07,666
29.08,665
29.10,664
29.11,663
29.13,662
29.14,661
29.15,660
29.17,659
29.18,658
29.20,657
29.21,656
29.22,655
29.24,654
29.25,653
29.27,652
29.28,651
29.29,650
29.31,649
29.32,648
29.34,647
29.35,646
29.36,645
29.38,644
29.39,643
29.41,642
29.42,641
29.43,640
29.45,639
29.46,638
29.48,637
29.49,636
29.50,635
29.52,634
29.53,633
29.55,632
29.56,631
29.58,630
29.59,629
29.60,628
29.62,627
29.63,626
29.65,625
29.66,624
29.68,623
29.69,622
29.70,621
29.72,620
29.73,619
29.75,618
29.76,617
29.78,616
29.79,615
29.80,614
29.82,613
29.83,612
29.85,611
29.86,610
29.88,609
29.89,608
29.91,607
29.92,606
29.93,605
29.95,604
29.96,603
29.98,602
29.99,601
30.01,600
30.02,599
30.04,598
30.05,597
30.07,596
30.08,595
30.10,594
30.11,593
30.12,592
30.14,591
30.15,590
30.17,589
30.18,588
30.20,587
30.21,586
30.23,585
30.24,584
30.26,583
30.27,582
30.29,581
30.30,580
30.32,579
30.33,578
30.35,577
30.36,576
30.38,575
30.39,574
30.41,573
30.42,572
30.44,571
30.45,570
30.47,569
30.48,568
30.50,567
30.51,566
30.53,565
30.54,564
30.56,563
30.57,562
30.59,561
30.60,560
30.62,559
30.63,558
30.65,557
30.66,556
30.68,555
30.69,554
30.71,553
30.72,552
30.74,551
30.75,550
30.77,549
30.78,548
30.80,547
30.81,546
30.83,545
30.84,544
30.86,543
30.87,542
30.89,541
30.90,540
30.92,539
30.94,538
30.95,537
30.97,536
30.98,535
31.00,534
31.01,533
31.03,532
31.04,531
31.06,530
31.07,529
31.09,528
31.11,527
31.12,526
31.14,525
31.15,524
31.17,523
31.18,522
31.20,521
31.22,520
31.23,519
31.25,518
31.26,517
31.28,516
31.29,515
31.31,514
31.33,513
31.34,512
31.36,511
31.37,510
31.39,509
31.40,508
31.42,507
31.44,506
31.45,505
31.47,504
31.48,503
31.50,502
31.52,501
31.53,500
31.55,499
31.56,498
31.58,497
31.60,496
31.61,495
31.63,494
31.64,493
31.66,492
31.68,491
31.69,490
31.71,489
31.72,488
31.74,487
31.76,486
31.77,485
31.79,484
31.80,483
31.82,482
31.84,481
31.85,480
31.87,479
31.89,478
31.90,477
31.92,476
31.94,475
31.95,474
31.97,473
31.98,472
32.00,471
32.02,470
32.03,469
32.05,468
32.07,467
32.08,466
32.10,465
32.12,464
32.13,463
32.15,462
32.17,461
32.18,460
32.20,459
32.22,458
32.23,457
32.25,456
32.27,455
32.28,454
32.30,453
32.32,452
32.33,451
32.35,450
32.37,449
32.38,448
32.40,447
32.42,446
32.43,445
32.45,444
32.47,443
32.49,442
32.50,441
32.52,440
