performance,points
464.78,1400
465.04,1399
465.31,1398
465.57,1397
465.83,1396
466.09,1395
466.36,1394
466.62,1393
466.88,1392
467.15,1391
467.41,1390
467.67,1389
467.94,1388
468.20,1387
468.47,1386
468.73,1385
468.99,1384
469.26,1383
469.52,1382
469.79,1381
470.05,1380
470.32,1379
470.58,1378
470.84,1377
471.11,1376
471.37,1375
471.64,1374
471.90,1373
472.17,1372
472.43,1371
472.70,1370
472.97,1369
473.23,1368
473.50,1367
473.76,1366
474.03,1365
474.29,1364
474.56,1363
474.83,1362
475.09,1361
475.36,1360
475.63,1359
475.89,1358
476.16,1357
476.43,1356
476.69,1355
476.96,1354
477.23,1353
477.49,1352
477.76,1351
478.03,1350
478.30,1349
478.56,1348
478.83,1347
479.10,1346
479.37,1345
479.63,1344
479.90,1343
480.17,1342
480.44,1341
480.71,1340
480.98,1339
481.24,1338
481.51,1337
481.78,1336
482.05,1335
482.32,1334
482.59,1333
482.86,1332
483.13,1331
483.40,1330
483.67,1329
483.94,1328
484.21,1327
484.47,1326
484.74,1325
485.01,1324
485.28,1323
485.55,1322
485.83,1321
486.10,1320
486.37,1319
486.64,1318
486.91,1317
487.18,1316
487.45,1315
487.72,1314
487.99,1313
488.26,1312
488.53,1311
488.80,1310
489.08,1309
489.35,1308
489.62,1307
489.89,1306
490.16,1305
490.44,1304
490.71,1303
490.98,1302
491.25,1301
491.52,1300
491.80,1299
492.07,1298
492.34,1297
492.62,1296
492.89,1295
493.16,1294
493.43,1293
493.71,1292
493.98,1291
494.25,1290
494.53,1289
494.80,1288
495.08,1287
495.35,1286
495.62,1285
495.90,1284
496.17,1283
496.45,1282
496.72,1281
497.00,1280
497.27,1279
497.54,1278
497.82,1277
498.09,1276
498.37,1275
498.64,1274
498.92,1273
499.20,1272
499.47,1271
499.75,1270
500.02,1269
500.30,1268
500.57,1267
500.85,1266
501.13,1265
501.40,1264
501.68,1263
501.96,1262
502.23,1261
502.51,1260
502.79,1259
503.06,1258
503.34,1257
503.62,1256
503.89,1255
504.17,1254
504.45,1253
504.73,1252
505.00,1251
505.28,1250
505.56,1249
505.84,1248
506.12,1247
506.39,1246
506.67,1245
506.95,1244
507.23,1243
507.51,1242
507.79,1241
508.07,1240
508.35,1239
508.63,1238
508.90,1237
509.18,1236
509.46,1235
509.74,1234
510.02,1233
510.30,1232
510.58,1231
510.86,1230
511.14,1229
511.42,1228
511.70,1227
511.98,1226
512.26,1225
512.55,1224
512.83,1223
513.11,1222
513.39,1221
513.67,1220
513.95,1219
514.23,1218
514.51,1217
514.80,1216
515.08,1215
515.36,1214
515.64,1213
515.92,1212
516.21,1211
516.49,1210
516.77,1209
517.05,1208
517.34,1207
517.62,1206
517.90,1205
518.19,1204
518.47,1203
518.75,1202
519.03,1201
519.32,1200
519.60,1199
519.89,1198
520.17,1197
520.45,1196
520.74,1195
521.02,1194
521.31,1193
521.59,1192
521.88,1191
522.16,1190
522.45,1189
522.73,1188
523.02,1187
523.30,1186
523.59,1185
523.87,1184
524.16,1183
524.44,1182
524.73,1181
525.01,1180
525.30,1179
525.59,1178
525.87,1177
526.16,1176
526.45,1175
526.73,1174
527.02,1173
527.31,1172
527.59,1171
527.88,1170
528.17,1169
528.46,1168
528.74,1167
529.03,1166
529.32,1165
529.61,1164
529.89,1163
530.18,1162
530.47,1161
530.76,1160
531.05,1159
531.34,1158
531.63,1157
531.91,1156
532.20,1155
532.49,1154
532.78,1153
533.07,1152
533.36,1151
533.65,1150
533.94,1149
534.23,1148
534.52,1147
534.81,1146
535.10,1145
535.39,1144
535.68,1143
535.97,1142
536.26,1141
536.55,1140
536.84,1139
537.14,1138
537.43,1137
537.72,1136
538.01,1135
538.30,1134
538.59,1133
538.89,1132
539.18,1131
539.47,1130
539.76,1129
540.05,1128
540.35,1127
540.64,1126
540.93,1125
541.23,1124
541.52,1123
541.81,1122
542.11,1121
542.40,1120
542.69,1119
542.99,1118
543.28,1117
543.57,1116
543.87,1115
544.16,1114
544.46,1113
