performance,points
38.31,1400
38.33,1399
38.35,1398
38.37,1397
38.39,1396
38.42,1395
38.44,1394
38.46,1393
38.48,1392
38.50,1391
38.52,1390
38.54,1389
38.57,1388
38.59,1387
38.61,1386
38.63,1385
38.65,1384
38.67,1383
38.69,1382
38.72,1381
38.74,1380
38.76,1379
38.78,1378
38.80,1377
38.82,1376
38.84,1375
38.87,1374
38.89,1373
38.91,1372
38.93,1371
38.95,1370
38.97,1369
39.00,1368
39.02,1367
39.04,1366
39.06,1365
39.08,1364
39.10,1363
39.13,1362
39.15,1361
39.17,1360
39.19,1359
39.21,1358
39.23,1357
39.26,1356
39.28,1355
39.30,1354
39.32,1353
39.34,1352
39.36,1351
39.39,1350
39.41,1349
39.43,1348
39.45,1347
39.47,1346
39.49,1345
39.52,1344
39.54,1343
39.56,1342
39.58,1341
39.60,1340
39.62,1339
39.65,1338
39.67,1337
39.69,1336
39.71,1335
39.73,1334
39.76,1333
39.78,1332
39.80,1331
39.82,1330
39.84,1329
39.86,1328
39.89,1327
39.91,1326
39.93,1325
39.95,1324
39.97,1323
40.00,1322
40.02,1321
40.04,1320
40.06,1319
40.08,1318
40.11,1317
40.13,1316
40.15,1315
40.17,1314
40.19,1313
40.22,1312
40.24,1311
40.26,1310
40.28,1309
40.30,1308
40.33,1307
40.35,1306
40.37,1305
40.39,1304
40.41,1303
40.44,1302
40.46,1301
40.48,1300
40.50,1299
40.53,1298
40.55,1297
40.57,1296
40.59,1295
40.61,1294
40.64,1293
40.66,1292
40.68,1291
40.70,1290
40.72,1289
40.75,1288
40.77,1287
40.79,1286
40.81,1285
40.84,1284
40.86,1283
40.88,1282
40.90,1281
40.92,1280
40.95,1279
40.97,1278
40.99,1277
41.01,1276
41.04,1275
41.06,1274
41.08,1273
41.10,1272
41.13,1271
41.15,1270
41.17,1269
41.19,1268
41.22,1267
41.24,1266
41.26,1265
41.28,1264
41.31,1263
41.33,1262
41.35,1261
41.37,1260
41.39,1259
41.42,1258
41.44,1257
41.46,1256
41.48,1255
41.51,1254
41.53,1253
41.55,1252
41.58,1251
41.60,1250
41.62,1249
41.64,1248
41.67,1247
41.69,1246
41.71,1245
41.73,1244
41.76,1243
41.78,1242
41.80,1241
41.82,1240
41.85,1239
41.87,1238
41.89,1237
41.91,1236
41.94,1235
41.96,1234
41.98,1233
42.01,1232
42.03,1231
42.05,1230
42.07,1229
42.10,1228
42.12,1227
42.14,1226
42.16,1225
42.19,1224
42.21,1223
42.23,1222
42.26,1221
42.28,1220
42.30,1219
42.32,1218
42.35,1217
42.37,1216
42.39,1215
42.42,1214
42.44,1213
42.46,1212
42.48,1211
42.51,1210
