performance,points
1024.00,1400
1025.00,1399
1026.00,1398
1027.00,1397
1028.00,1396
1029.00,1395
1030.00,1394
1031.00,1393
1032.00,1392
1033.00,1391
1034.00,1390
1035.00,1389
1036.00,1388
1037.00,1387
1038.00,1386
1039.00,1385
1040.00,1384
1041.00,1383
1042.00,1381
1043.00,1380
1044.00,1379
1045.00,1378
1046.00,1377
1047.00,1376
1048.00,1375
1049.00,1374
1050.00,1373
1051.00,1372
1052.00,1371
1053.00,1370
1054.00,1369
1055.00,1368
1056.00,1367
1057.00,1366
1058.00,1365
1059.00,1364
1060.00,1363
1061.00,1362
1062.00,1361
1063.00,1360
1064.00,1359
1065.00,1358
1066.00,1357
1067.00,1356
1068.00,1355
1069.00,1354
1070.00,1353
1071.00,1352
1072.00,1351
1073.00,1350
1074.00,1349
1075.00,1348
1076.00,1347
1077.00,1346
1078.00,1345
1079.00,1344
1080.00,1343
1081.00,1342
1082.00,1341
1083.00,1339
1084.00,1338
1085.00,1337
1086.00,1336
1087.00,1335
1088.00,1334
1089.00,1333
1090.00,1332
1091.00,1331
1092.00,1330
1093.00,1329
1094.00,1328
1095.00,1327
1096.00,1326
1097.00,1325
1098.00,1324
1099.00,1323
1100.00,1322
1101.00,1321
1102.00,1320
1103.00,1319
1104.00,1318
1105.00,1317
1106.00,1316
1107.00,1315
1108.00,1314
1109.00,1313
1110.00,1312
1111.00,1311
1112.00,1310
1113.00,1309
1114.00,1308
1115.00,1307
1116.00,1306
1117.00,1305
1118.00,1304
1119.00,1303
1120.00,1302
1121.00,1301
1122.00,1300
1123.00,1299
1124.00,1298
1125.00,1297
1126.00,1296
1127.00,1295
1128.00,1294
1129.00,1293
1130.00,1292
1131.00,1291
1132.00,1290
1133.00,1289
1134.00,1288
1135.00,1287
1136.00,1286
1137.00,1285
1138.00,1284
1139.00,1283
1140.00,1282
1141.00,1281
1142.00,1280
1143.00,1279
1144.00,1278
1145.00,1277
1146.00,1276
1147.00,1275
1148.00,1274
1149.00,1273
1150.00,1272
1151.00,1271
1152.00,1270
1153.00,1269
1154.00,1268
1155.00,1267
1156.00,1266
1157.00,1265
1158.00,1264
1159.00,1263
1160.00,1262
1161.00,1261
1162.00,1260
1163.00,1259
1164.00,1258
1165.00,1257
1166.00,1256
1167.00,1255
1169.00,1254
1170.00,1253
1171.00,1252
1172.00,1251
1173.00,1250
1174.00,1249
1175.00,1248
1176.00,1247
1177.00,1246
1178.00,1245
1179.00,1244
1180.00,1243
1181.00,1242
1182.00,1241
1183.00,1240
1184.00,1239
1185.00,1238
1186.00,1237
1187.00,1236
1188.00,1235
1189.00,1234
1190.00,1233
1191.00,1232
1192.00,1231
1193.00,1230
1194.00,1229
1195.00,1228
1196.00,1227
1197.00,1226
1198.00,1225
1199.00,1224
1200.00,1223
1201.00,1222
1202.00,1221
1203.00,1220
1204.00,1219
1205.00,1218
1206.00,1217
1207.00,1216
1208.00,1215
1210.00,1214
1211.00,1213
1212.00,1212
1213.00,1211
1214.00,1210
1215.00,1209
1216.00,1208
1217.00,1207
1218.00,1206
1219.00,1205
1220.00,1204
1221.00,1203
1222.00,1202
1223.00,1201
1224.00,1200
1225.00,1199
1226.00,1198
1227.00,1197
1228.00,1196
1229.00,1195
1230.00,1194
1231.00,1193
1232.00,1192
1233.00,1191
1234.00,1190
1236.00,1189
1237.00,1188
1238.00,1187
1239.00,1186
1240.00,1185
1241.00,1184
1242.00,1183
1243.00,1182
1244.00,1181
1245.00,1180
1246.00,1179
1247.00,1178
1248.00,1177
1249.00,1176
1250.00,1175
1251.00,1174
1252.00,1173
1253.00,1172
1254.00,1171
1255.00,1170
1256.00,1169
1258.00,1168
1259.00,1167
1260.00,1166
1261.00,1165
1262.00,1164
1263.00,1163
1264.00,1162
1265.00,1161
1266.00,1160
1267.00,1159
1268.00,1158
1269.00,1157
1270.00,1156
1271.00,1155
1272.00,1154
1273.00,1153
1274.00,1152
1276.00,1151
1277.00,1150
1278.00,1149
1279.00,1148
1280.00,1147
1281.00,1146
1282.00,1145
1283.00,1144
1284.00,1143
1285.00,1142
1286.00,1141
1287.00,1140
1288.00,1139
1289.00,1138
1290.00,1137
1292.00,1136
1293.00,1135
1294.00,1134
1295.00,1133
1296.00,1132
1297.00,1131
1298.00,1130
1299.00,1129
1300.00,1128
1301.00,1127
1302.00,1126
1303.00,1125
1304.00,1124
1305.00,1123
1307.00,1122
1308.00,1121
1309.00,1120
1310.00,1119
1311.00,1118
1312.00,1117
1313.00,1116
1314.00,1115
1315.00,1114
1316.00,1113
1317.00,1112
1318.00,1111
1319.00,1110
1321.00,1109
1322.00,1108
1323.00,1107
1324.00,1106
1325.00,1105
1326.00,1104
1327.00,1103
1328.00,1102
1329.00,1101
1330.00,1100
1331.00,1099
1332.00,1098
1334.00,1097
1335.00,1096
1336.00,1095
1337.00,1094
1338.00,1093
1339.00,1092
1340.00,1091
1341.00,1090
1342.00,1089
1343.00,1088
1344.00,1087
1346.00,1086
1347.00,1085
1348.00,1084
1349.00,1083
1350.00,1082
1351.00,1081
1352.00,1080
1353.00,1079
1354.00,1078
1355.00,1077
1356.00,1076
1358.00,1075
1359.00,1074
1360.00,1073
1361.00,1072
1362.00,1071
1363.00,1070
1364.00,1069
1365.00,1068
1366.00,1067
1367.00,1066
1369.00,1065
1370.00,1064
1371.00,1063
1372.00,1062
1373.00,1061
1374.00,1060
1375.00,1059
1376.00,1058
1377.00,1057
1379.00,1056
1380.00,1055
1381.00,1054
1382.00,1053
1383.00,1052
1384.00,1051
1385.00,1050
1386.00,1049
1387.00,1048
1389.00,1047
1390.00,1046
1391.00,1045
1392.00,1044
1393.00,1043
1394.00,1042
1395.00,1041
1396.00,1040
1397.00,1039
1399.00,1038
1400.00,1037
1401.00,1036
1402.00,1035
1403.00,1034
1404.00,1033
1405.00,1032
1406.00,1031
1408.00,1030
1409.00,1029
1410.00,1028
1411.00,1027
1412.00,1026
1413.00,1025
1414.00,1024
1415.00,1023
1417.00,1022
1418.00,1021
1419.00,1020
1420.00,1019
1421.00,1018
1422.00,1017
1423.00,1016
1424.00,1015
1426.00,1014
1427.00,1013
1428.00,1012
1429.00,1011
1430.00,1010
1431.00,1009
1432.00,1008
1434.00,1007
1435.00,1006
1436.00,1005
1437.00,1004
1438.00,1003
1439.00,1002
1440.00,1001
1441.00,1000
1443.00,999
1444.00,998
1445.00,997
1446.00,996
1447.00,995
1448.00,994
1449.00,993
1451.00,992
1452.00,991
1453.00,990
1454.00,989
1455.00,988
1456.00,987
1457.00,986
1459.00,985
1460.00,984
1461.00,983
1462.00,982
1463.00,981
1464.00,980
1466.00,979
1467.00,978
1468.00,977
1469.00,976
1470.00,975
1471.00,974
1472.00,973
1474.00,972
1475.00,971
1476.00,970
1477.00,969
1478.00,968
1479.00,967
1481.00,966
1482.00,965
1483.00,964
1484.00,963
1485.00,962
1486.00,961
1487.00,960
1489.00,959
1490.00,958
1491.00,957
1492.00,956
1493.00,955
1494.00,954
1496.00,953
1497.00,952
1498.00,951
1499.00,950
1500.00,949
1501.00,948
1503.00,947
1504.00,946
1505.00,945
1506.00,944
1507.00,943
1509.00,942
1510.00,941
1511.00,940
1512.00,939
1513.00,938
1514.00,937
1516.00,936
1517.00,935
1518.00,934
1519.00,933
1520.00,932
1521.00,931
1523.00,930
1524.00,929
1525.00,928
1526.00,927
1527.00,926
1529.00,925
1530.00,924
1531.00,923
1532.00,922
1533.00,921
1534.00,920
1536.00,919
1537.00,918
1538.00,917
1539.00,916
1540.00,915
1542.00,914
1543.00,913
1544.00,912
1545.00,911
1546.00,910
1548.00,909
1549.00,908
1550.00,907
1551.00,906
1552.00,905
1554.00,904
1555.00,903
1556.00,902
1557.00,901
1558.00,900
1560.00,899
1561.00,898
1562.00,897
1563.00,896
1564.00,895
1566.00,894
1567.00,893
1568.00,892
1569.00,891
1570.00,890
1572.00,889
1573.00,888
1574.00,887
1575.00,886
1576.00,885
1578.00,884
1579.00,883
1580.00,882
1581.00,881
1583.00,880
1584.00,879
1585.00,878
1586.00,877
1587.00,876
1589.00,875
1590.00,874
1591.00,873
1592.00,872
1593.00,871
1595.00,870
1596.00,869
1597.00,868
1598.00,867
1600.00,866
1601.00,865
1602.00,864
1603.00,863
1604.00,862
1606.00,861
1607.00,860
1608.00,859
1609.00,858
1611.00,857
1612.00,856
1613.00,855
1614.00,854
1616.00,853
1617.00,852
1618.00,851
1619.00,850
1620.00,849
1622.00,848
1623.00,847
1624.00,846
1625.00,845
1627.00,844
1628.00,843
1629.00,842
1630.00,841
1632.00,840
1633.00,839
1634.00,838
1635.00,837
1637.00,836
1638.00,835
1639.00,834
1640.00,833
1642.00,832
1643.00,831
1644.00,830
1645.00,829
1647.00,828
1648.00,827
1649.00,826
1650.00,825
1652.00,824
1653.00,823
1654.00,822
1655.00,821
1657.00,820
1658.00,819
1659.00,818
1660.00,817
1662.00,816
1663.00,815
1664.00,814
1665.00,813
1667.00,812
1668.00,811
1669.00,810
1671.00,809
1672.00,808
1673.00,807
1674.00,806
1676.00,805
1677.00,804
1678.00,803
1679.00,802
1681.00,801
1682.00,800
1683.00,799
1685.00,798
1686.00,797
1687.00,796
1688.00,795
1690.00,794
1691.00,793
1692.00,792
1693.00,791
1695.00,790
1696.00,789
1697.00,788
1699.00,787
1700.00,786
1701.00,785
1702.00,784
1704.00,783
1705.00,782
1706.00,781
1708.00,780
1709.00,779
1710.00,778
1711.00,777
1713.00,776
1714.00,775
1715.00,774
1717.00,773
1718.00,772
1719.00,771
1721.00,770
1722.00,769
1723.00,768
1724.00,767
1726.00,766
1727.00,765
1728.00,764
1730.00,763
1731.00,762
1732.00,761
1734.00,760
1735.00,759
1736.00,758
1737.00,757
1739.00,756
1740.00,755
1741.00,754
1743.00,753
1744.00,752
1745.00,751
1747.00,750
1748.00,749
1749.00,748
1751.00,747
1752.00,746
1753.00,745
1755.00,744
1756.00,743
1757.00,742
1759.00,741
1760.00,740
1761.00,739
1763.00,738
1764.00,737
1765.00,736
1766.00,735
1768.00,734
1769.00,733
1770.00,732
1772.00,731
1773.00,730
1774.00,729
1776.00,728
1777.00,727
1778.00,726
1780.00,725
1781.00,724
1783.00,723
1784.00,722
1785.00,721
1787.00,720
1788.00,719
1789.00,718
1791.00,717
1792.00,716
1793.00,715
1795.00,714
1796.00,713
1797.00,712
1799.00,711
1800.00,710
1801.00,709
1803.00,708
1804.00,707
1805.00,706
1807.00,705
1808.00,704
1809.00,703
1811.00,702
1812.00,701
1814.00,700
1815.00,699
1816.00,698
1818.00,697
1819.00,696
1820.00,695
1822.00,694
1823.00,693
1824.00,692
1826.00,691
1827.00,690
1829.00,689
1830.00,688
1831.00,687
1833.00,686
1834.00,685
1835.00,684
1837.00,683
1838.00,682
1840.00,681
1841.00,680
1842.00,679
1844.00,678
1845.00,677
1847.00,676
1848.00,675
1849.00,674
1851.00,673
1852.00,672
1853.00,671
1855.00,670
1856.00,669
1858.00,668
1859.00,667
1860.00,666
1862.00,665
1863.00,664
1865.00,663
1866.00,662
1867.00,661
1869.00,660
1870.00,659
1872.00,658
1873.00,657
1874.00,656
1876.00,655
1877.00,654
1879.00,653
1880.00,652
1881.00,651
1883.00,650
1884.00,649
1886.00,648
1887.00,647
1889.00,646
1890.00,645
1891.00,644
1893.00,643
1894.00,642
1896.00,641
1897.00,640
1899.00,639
1900.00,638
1901.00,637
1903.00,636
1904.00,635
1906.00,634
1907.00,633
1909.00,632
1910.00,631
1911.00,630
1913.00,629
1914.00,628
1916.00,627
1917.00,626
1919.00,625
1920.00,624
1921.00,623
1923.00,622
1924.00,621
1926.00,620
1927.00,619
1929.00,618
1930.00,617
1932.00,616
1933.00,615
1934.00,614
1936.00,613
1937.00,612
1939.00,611
1940.00,610
1942.00,609
1943.00,608
1945.00,607
1946.00,606
1948.00,605
1949.00,604
1951.00,603
1952.00,602
1953.00,601
1955.00,600
1956.00,599
1958.00,598
1959.00,597
1961.00,596
1962.00,595
1964.00,594
1965.00,593
1967.00,592
1968.00,591
1970.00,590
1971.00,589
1973.00,588
1974.00,587
1976.00,586
1977.00,585
1979.00,584
1980.00,583
1982.00,582
1983.00,581
1985.00,580
1986.00,579
1988.00,578
1989.00,577
1991.00,576
1992.00,575
1994.00,574
1995.00,573
1997.00,572
1998.00,571
2000.00,570
2001.00,569
2003.00,568
2004.00,567
2006.00,566
2007.00,565
2009.00,564
2010.00,563
2012.00,562
2013.00,561
2015.00,560
2016.00,559
2018.00,558
2019.00,557
2021.00,556
2022.00,555
2024.00,554
2025.00,553
2027.00,552
2029.00,551
2030.00,550
2032.00,549
2033.00,548
2035.00,547
2036.00,546
2038.00,545
2039.00,544
2041.00,543
2042.00,542
2044.00,541
2045.00,540
2047.00,539
2049.00,538
2050.00,537
2052.00,536
2053.00,535
2055.00,534
2056.00,533
2058.00,532
2060.00,531
2061.00,530
2063.00,529
2064.00,528
2066.00,527
2067.00,526
2069.00,525
2070.00,524
2072.00,523
2074.00,522
2075.00,521
2077.00,520
2078.00,519
2080.00,518
2082.00,517
2083.00,516
2085.00,515
2086.00,514
2088.00,513
2089.00,512
2091.00,511
2093.00,510
2094.00,509
2096.00,508
2097.00,507
2099.00,506
2101.00,505
2102.00,504
2104.00,503
2105.00,502
2107.00,501
2109.00,500
2110.00,499
2112.00,498
2114.00,497
2115.00,496
2117.00,495
2118.00,494
2120.00,493
2122.00,492
2123.00,491
2125.00,490
2127.00,489
2128.00,488
2130.00,487
2131.00,486
2133.00,485
2135.00,484
2136.00,483
2138.00,482
2140.00,481
2141.00,480
2143.00,479
2145.00,478
2146.00,477
2148.00,476
2149.00,475
2151.00,474
2153.00,473
2154.00,472
2156.00,471
2158.00,470
2159.00,469
2161.00,468
2163.00,467
2164.00,466
2166.00,465
2168.00,464
2169.00,463
2171.00,462
2173.00,461
2174.00,460
2176.00,459
2178.00,458
2180.00,457
2181.00,456
2183.00,455
2185.00,454
2186.00,453
2188.00,452
2190.00,451
2191.00,450
2193.00,449
2195.00,448
2196.00,447
2198.00,446
2200.00,445
2202.00,444
2203.00,443
2205.00,442
2207.00,441
2208.00,440
2210.00,439
2212.00,438
2214.00,437
2215.00,436
2217.00,435
2219.00,434
2220.00,433
2222.00,432
2224.00,431
2226.00,430
2227.00,429
2229.00,428
2231.00,427
2233.00,426
2234.00,425
2236.00,424
2238.00,423
2240.00,422
2241.00,421
2243.00,420
2245.00,419
2247.00,418
2248.00,417
2250.00,416
2252.00,415
2254.00,414
2256.00,413
2257.00,412
2259.00,411
2261.00,410
2263.00,409
2264.00,408
2266.00,407
2268.00,406
2270.00,405
2272.00,404
2273.00,403
2275.00,402
2277.00,401
2279.00,400
2281.00,399
2282.00,398
2284.00,397
2286.00,396
2288.00,395
2290.00,394
2291.00,393
2293.00,392
2295.00,391
2297.00,390
2299.00,389
2301.00,388
2302.00,387
2304.00,386
2306.00,385
2308.00,384
2310.00,383
2312.00,382
2313.00,381
2315.00,380
2317.00,379
2319.00,378
2321.00,377
2323.00,376
2324.00,375
2326.00,374
2328.00,373
2330.00,372
2332.00,371
2334.00,370
2336.00,369
2338.00,368
2339.00,367
2341.00,366
2343.00,365
2345.00,364
2347.00,363
2349.00,362
2351.00,361
2353.00,360
2355.00,359
2356.00,358
2358.00,357
2360.00,356
2362.00,355
2364.00,354
2366.00,353
2368.00,352
2370.00,351
2372.00,350
2374.00,349
2376.00,348
2378.00,347
2380.00,346
2381.00,345
2383.00,344
2385.00,343
2387.00,342
2389.00,341
2391.00,340
2393.00,339
2395.00,338
2397.00,337
2399.00,336
2401.00,335
2403.00,334
2405.00,333
2407.00,332
2409.00,331
2411.00,330
2413.00,329
2415.00,328
2417.00,327
2419.00,326
2421.00,325
2423.00,324
2425.00,323
2427.00,322
2429.00,321
2431.00,320
2433.00,319
2435.00,318
2437.00,317
2439.00,316
2441.00,315
2443.00,314
2445.00,313
2447.00,312
2449.00,311
2451.00,310
2453.00,309
2455.00,308
2457.00,307
2459.00,306
2461.00,305
2463.00,304
2466.00,303
2468.00,302
2470.00,301
2472.00,300
2474.00,299
2476.00,298
2478.00,297
2480.00,296
2482.00,295
2484.00,294
2486.00,293
2489.00,292
2491.00,291
2493.00,290
2495.00,289
2497.00,288
2499.00,287
2501.00,286
2503.00,285
2506.00,284
2508.00,283
2510.00,282
2512.00,281
2514.00,280
2516.00,279
2518.00,278
2521.00,277
2523.00,276
2525.00,275
2527.00,274
2529.00,273
2531.00,272
2534.00,271
2536.00,270
2538.00,269
2540.00,268
2542.00,267
2545.00,266
2547.00,265
2549.00,264
