performance,points
106.78,1400
106.83,1399
106.88,1398
106.94,1397
106.99,1396
107.04,1395
107.09,1394
107.14,1393
107.19,1392
107.24,1391
107.29,1390
107.35,1389
107.40,1388
107.45,1387
107.50,1386
107.55,1385
107.60,1384
107.65,1383
107.71,1382
107.76,1381
107.81,1380
107.86,1379
107.91,1378
107.96,1377
108.02,1376
108.07,1375
108.12,1374
108.17,1373
108.22,1372
108.27,1371
108.33,1370
108.38,1369
108.43,1368
108.48,1367
108.53,1366
108.58,1365
108.64,1364
108.69,1363
108.74,1362
108.79,1361
108.84,1360
108.90,1359
108.95,1358
109.00,1357
109.05,1356
109.10,1355
109.15,1354
109.21,1353
109.26,1352
109.31,1351
109.36,1350
109.42,1349
109.47,1348
109.52,1347
109.57,1346
109.62,1345
109.68,1344
109.73,1343
109.78,1342
109.83,1341
109.88,1340
109.94,1339
109.99,1338
110.04,1337
110.09,1336
110.15,1335
110.20,1334
110.25,1333
110.30,1332
110.36,1331
110.41,1330
110.46,1329
110.51,1328
110.57,1327
110.62,1326
110.67,1325
110.72,1324
110.78,1323
110.83,1322
110.88,1321
110.93,1320
110.99,1319
111.04,1318
111.09,1317
111.15,1316
111.20,1315
111.25,1314
111.30,1313
111.36,1312
111.41,1311
111.46,1310
111.52,1309
111.57,1308
111.62,1307
111.67,1306
111.73,1305
111.78,1304
111.83,1303
111.89,1302
111.94,1301
111.99,1300
112.05,1299
112.10,1298
112.15,1297
112.20,1296
112.26,1295
112.31,1294
112.36,1293
112.42,1292
112.47,1291
112.52,1290
112.58,1289
112.63,1288
112.68,1287
112.74,1286
112.79,1285
112.84,1284
112.90,1283
112.95,1282
113.00,1281
113.06,1280
113.11,1279
113.16,1278
113.22,1277
113.27,1276
113.33,1275
113.38,1274
113.43,1273
113.49,1272
113.54,1271
113.59,1270
113.65,1269
113.70,1268
113.75,1267
113.81,1266
113.86,1265
113.92,1264
113.97,1263
114.02,1262
114.08,1261
114.13,1260
114.19,1259
114.24,1258
114.29,1257
114.35,1256
114.40,1255
114.46,1254
114.51,1253
114.56,1252
114.62,1251
114.67,1250
114.73,1249
114.78,1248
114.83,1247
114.89,1246
114.94,1245
115.00,1244
115.05,1243
115.11,1242
115.16,1241
115.21,1240
115.27,1239
115.32,1238
115.38,1237
115.43,1236
115.49,1235
115.54,1234
115.60,1233
115.65,1232
115.70,1231
115.76,1230
115.81,1229
115.87,1228
115.92,1227
115.98,1226
116.03,1225
116.09,1224
116.14,1223
116.20,1222
116.25,1221
116.31,1220
116.36,1219
116.42,1218
116.47,1217
116.53,1216
116.58,1215
116.63,1214
116.69,1213
116.74,1212
116.80,1211
116.85,1210
116.91,1209
116.96,1208
117.02,1207
117.07,1206
117.13,1205
117.19,1204
117.24,1203
117.30,1202
117.35,1201
117.41,1200
117.46,1199
117.52,1198
117.57,1197
117.63,1196
117.68,1195
117.74,1194
117.79,1193
117.85,1192
117.90,1191
117.96,1190
118.02,1189
118.07,1188
118.13,1187
118.18,1186
118.24,1185
118.29,1184
118.35,1183
118.40,1182
118.46,1181
118.52,1180
118.57,1179
118.63,1178
118.68,1177
118.74,1176
118.79,1175
118.85,1174
118.91,1173
118.96,1172
119.02,1171
119.07,1170
119.13,1169
119.19,1168
119.24,1167
119.30,1166
119.35,1165
119.41,1164
119.47,1163
119.52,1162
119.58,1161
119.63,1160
119.69,1159
119.75,1158
119.80,1157
119.86,1156
119.92,1155
119.97,1154
120.03,1153
120.08,1152
120.14,1151
120.20,1150
120.25,1149
120.31,1148
120.37,1147
120.42,1146
120.48,1145
120.54,1144
120.59,1143
120.65,1142
120.71,1141
120.76,1140
120.82,1139
120.88,1138
120.93,1137
120.99,1136
121.05,1135
121.10,1134
121.16,1133
121.22,1132
121.27,1131
121.33,1130
121.39,1129
121.45,1128
121.50,1127
121.56,1126
121.62,1125
121.67,1124
121.73,1123
121.79,1122
121.84,1121
121.90,1120
121.96,1119
122.02,1118
122.07,1117
122.13,1116
122.19,1115
122.25,1114
122.30,1113
122.36,1112
122.42,1111
122.47,1110
122.53,1109
122.59,1108
122.65,1107
122.70,1106
122.76,1105
122.82,1104
122.88,1103
122.94,1102
122.99,1101
123.05,1100
123.11,1099
123.17,1098
123.22,1097
123.28,1096
123.34,1095
123.40,1094
123.46,1093
123.51,1092
123.57,1091
123.63,1090
