performance,points
0.71,7
0.72,15
0.73,24
0.74,33
0.75,42
0.76,51
0.77,59
0.78,68
0.79,77
0.80,86
0.81,95
0.82,104
0.83,112
0.84,121
0.85,130
0.86,139
0.87,148
0.88,157
0.89,166
0.90,175
0.91,184
0.92,193
0.93,201
0.94,210
0.95,219
0.96,228
0.97,237
0.98,246
0.99,255
1.00,264
1.01,273
1.02,282
1.03,291
1.04,300
1.05,309
1.06,318
1.07,327
1.08,337
1.09,346
1.10,355
1.11,364
1.12,373
1.13,382
1.14,391
1.15,400
1.16,409
1.17,418
1.18,428
1.19,437
1.20,446
1.21,455
1.22,464
1.23,473
1.24,482
1.25,492
1.26,501
1.27,510
1.28,519
1.29,529
1.30,538
1.31,547
1.32,556
1.33,565
1.34,575
1.35,584
1.36,593
1.37,603
1.38,612
1.39,621
1.40,630
1.41,640
1.42,649
1.43,658
1.44,668
1.45,677
1.46,686
1.47,696
1.48,705
1.49,715
1.50,724
1.51,733
1.52,743
1.53,752
1.54,761
1.55,771
1.56,780
1.57,790
1.58,799
1.59,809
1.60,818
1.61,828
1.62,837
1.63,847
1.64,856
1.65,866
1.66,875
1.67,885
1.68,894
1.69,904
1.70,913
1.71,923
1.72,932
1.73,942
1.74,951
1.75,961
1.76,970
1.77,980
1.78,990
1.79,999
1.80,1009
1.81,1018
1.82,1028
1.83,1038
1.84,1047
1.85,1057
1.86,1067
1.87,1076
1.88,1086
1.89,1096
1.90,1105
1.91,1115
1.92,1125
1.93,1135
1.94,1144
1.95,1154
1.96,1164
1.97,1173
1.98,1183
1.99,1193
2.00,1203
2.01,1212
2.02,1222
2.03,1232
2.04,1242
2.05,1252
2.06,1261
2.07,1271
2.08,1281
2.09,1291
2.10,1301
2.11,1311
2.12,1320
2.13,1330
2.14,1340
2.15,1350
2.16,1360
2.17,1370
2.18,1380
2.19,1390
2.20,1400
