performance,points
1.13,1
1.19,2
1.25,3
1.30,4
1.36,5
1.42,6
1.47,7
1.53,8
1.59,9
1.64,10
1.70,11
1.76,12
1.81,13
1.87,14
1.92,15
1.98,16
2.04,17
2.09,18
2.15,19
2.21,20
2.26,21
2.32,22
2.38,23
2.43,24
2.49,25
2.54,26
2.60,27
2.66,28
2.71,29
2.77,30
2.83,31
2.88,32
2.94,33
3.00,34
3.05,35
3.11,36
3.17,37
3.22,38
3.28,39
3.33,40
3.39,41
3.45,42
3.50,43
3.56,44
3.62,45
3.67,46
3.73,47
3.79,48
3.84,49
3.90,50
3.95,51
4.01,52
4.07,53
4.12,54
4.18,55
4.24,56
4.29,57
4.35,58
4.41,59
4.46,60
4.52,61
4.57,62
4.63,63
4.69,64
4.74,65
4.80,66
4.86,67
4.91,68
4.97,69
5.02,70
5.08,71
5.14,72
5.19,73
5.25,74
5.31,75
5.36,76
5.42,77
5.48,78
5.53,79
5.59,80
5.64,81
5.70,82
5.76,83
5.81,84
5.87,85
5.93,86
5.98,87
6.04,88
6.09,89
6.15,90
6.21,91
6.26,92
6.32,93
6.38,94
6.43,95
6.49,96
6.55,97
6.60,98
6.66,99
6.71,100
6.77,101
6.83,102
6.88,103
6.94,104
7.00,105
7.05,106
7.11,107
7.16,108
7.22,109
7.28,110
7.33,111
7.39,112
7.45,113
7.50,114
7.56,115
7.61,116
7.67,117
7.73,118
7.78,119
7.84,120
7.90,121
7.95,122
8.01,123
8.06,124
8.12,125
8.18,126
8.23,127
8.29,128
8.35,129
8.40,130
8.46,131
8.51,132
8.57,133
8.63,134
8.68,135
8.74,136
8.80,137
8.85,138
8.91,139
8.96,140
9.02,141
9.08,142
9.13,143
9.19,144
9.25,145
9.30,146
9.36,147
9.41,148
9.47,149
9.53,150
9.58,151
9.64,152
9.70,153
9.75,154
9.81,155
9.86,156
9.92,157
9.98,158
10.03,159
10.09,160
10.15,161
10.20,162
10.26,163
10.31,164
10.37,165
10.43,166
10.48,167
10.54,168
10.59,169
10.65,170
10.71,171
10.76,172
10.82,173
10.88,174
10.93,175
10.99,176
11.04,177
11.10,178
11.16,179
11.21,180
11.27,181
11.33,182
11.38,183
11.44,184
11.49,185
11.55,186
11.61,187
11.66,188
11.72,189
11.77,190
11.83,191
11.89,192
11.94,193
12.00,194
12.06,195
12.11,196
12.17,197
12.22,198
12.28,199
12.34,200
12.39,201
12.45,202
12.50,203
12.56,204
12.62,205
12.67,206
12.73,207
12.79,208
12.84,209
12.90,210
12.95,211
13.01,212
13.07,213
13.12,214
13.18,215
13.23,216
13.29,217
13.35,218
13.40,219
13.46,220
13.52,221
13.57,222
13.63,223
13.68,224
13.74,225
13.80,226
13.85,227
13.91,228
13.96,229
14.02,230
14.08,231
14.13,232
14.19,233
14.24,234
14.30,235
14.36,236
14.41,237
14.47,238
14.53,239
14.58,240
14.64,241
14.69,242
14.75,243
14.81,244
14.86,245
14.92,246
14.97,247
15.03,248
15.09,249
15.14,250
15.20,251
15.25,252
15.31,253
15.37,254
15.42,255
15.48,256
15.53,257
15.59,258
15.65,259
15.70,260
15.76,261
15.82,262
15.87,263
15.93,264
15.98,265
16.04,266
16.10,267
16.15,268
16.21,269
16.26,270
16.32,271
16.38,272
16.43,273
16.49,274
16.54,275
16.60,276
16.66,277
16.71,278
16.77,279
16.82,280
16.88,281
16.94,282
16.99,283
17.05,284
17.10,285
17.16,286
17.22,287
17.27,288
17.33,289
17.38,290
17.44,291
17.50,292
17.55,293
17.61,294
17.66,295
17.72,296
17.78,297
17.83,298
17.89,299
17.94,300
18.00,301
18.06,302
18.11,303
18.17,304
18.22,305
18.28,306
18.34,307
18.39,308
18.45,309
18.50,310
18.56,311
18.62,312
18.67,313
18.73,314
18.78,315
18.84,316
18.90,317
18.95,318
19.01,319
19.06,320
19.12,321
19.18,322
19.23,323
19.29,324
19.34,325
19.40,326
19.46,327
19.51,328
19.57,329
19.62,330
19.68,331
19.74,332
19.79,333
19.85,334
19.90,335
19.96,336
20.02,337
20.07,338
20.13,339
20.18,340
20.24,341
20.30,342
20.35,343
20.41,344
20.46,345
20.52,346
20.58,347
20.63,348
20.69,349
20.74,350
20.80,351
20.86,352
20.91,353
20.97,354
21.02,355
21.08,356
21.14,357
21.19,358
21.25,359
21.30,360
21.36,361
21.41,362
21.47,363
21.53,364
21.58,365
21.64,366
21.69,367
21.75,368
21.81,369
21.86,370
21.92,371
21.97,372
22.03,373
22.09,374
22.14,375
22.20,376
22.25,377
22.31,378
22.37,379
22.42,380
22.48,381
22.53,382
22.59,383
22.64,384
22.70,385
22.76,386
22.81,387
22.87,388
22.92,389
22.98,390
23.04,391
23.09,392
23.15,393
23.20,394
23.26,395
23.32,396
23.37,397
23.43,398
23.48,399
23.54,400
23.59,401
23.65,402
23.71,403
23.76,404
23.82,405
23.87,406
23.93,407
23.99,408
24.04,409
24.10,410
24.15,411
24.21,412
24.27,413
24.32,414
24.38,415
24.43,416
24.49,417
24.54,418
24.60,419
24.66,420
24.71,421
24.77,422
24.82,423
24.88,424
24.94,425
24.99,426
25.05,427
25.10,428
25.16,429
25.21,430
25.27,431
25.33,432
25.38,433
25.44,434
25.49,435
25.55,436
25.61,437
25.66,438
25.72,439
25.77,440
25.83,441
25.88,442
25.94,443
26.00,444
26.05,445
26.11,446
26.16,447
26.22,448
26.28,449
26.33,450
26.39,451
26.44,452
26.50,453
26.55,454
26.61,455
26.67,456
26.72,457
26.78,458
26.83,459
26.89,460
26.94,461
27.00,462
27.06,463
27.11,464
27.17,465
27.22,466
27.28,467
27.34,468
27.39,469
27.45,470
27.50,471
27.56,472
27.61,473
27.67,474
27.73,475
27.78,476
27.84,477
27.89,478
27.95,479
28.00,480
28.06,481
28.12,482
