performance,points
1.20,1
1.21,2
1.22,4
1.23,6
1.24,8
1.25,10
1.26,12
1.27,14
1.28,16
1.29,18
1.30,20
1.31,22
1.32,24
1.33,26
1.34,28
1.35,30
1.36,32
1.37,34
1.38,36
1.39,38
1.40,40
1.41,42
1.42,44
1.43,46
1.44,48
1.45,50
1.46,52
1.47,54
1.48,56
1.49,58
1.50,60
1.51,62
1.52,64
1.53,65
1.54,67
1.55,69
1.56,71
1.57,73
1.58,75
1.59,77
1.60,79
1.61,81
1.62,83
1.63,85
1.64,87
1.65,89
1.66,91
1.67,93
1.68,95
1.69,97
1.70,99
1.71,101
1.72,103
1.73,105
1.74,107
1.75,109
1.76,111
1.77,113
1.78,115
1.79,117
1.80,119
1.81,121
1.82,123
1.83,125
1.84,127
1.85,129
1.86,131
1.87,133
1.88,135
1.89,137
1.90,139
1.91,141
1.92,143
1.93,145
1.94,147
1.95,149
1.96,151
1.97,153
1.98,155
1.99,157
2.00,159
2.01,161
2.02,163
2.03,165
2.04,167
2.05,169
2.06,171
2.07,173
2.08,175
2.09,177
2.10,179
2.11,181
2.12,183
2.13,185
2.14,187
2.15,189
2.16,191
2.17,193
2.18,195
2.19,197
2.20,199
2.21,201
2.22,203
2.23,205
2.24,207
2.25,209
2.26,211
2.27,213
2.28,215
2.29,217
2.30,219
2.31,221
2.32,223
2.33,225
2.34,227
2.35,229
2.36,231
2.37,233
2.38,235
2.39,237
2.40,239
2.41,241
2.42,243
2.43,245
2.44,247
2.45,249
2.46,251
2.47,253
2.48,255
2.49,257
2.50,259
2.51,261
2.52,263
2.53,265
2.54,267
2.55,269
2.56,271
2.57,273
2.58,275
2.59,277
2.60,279
2.61,281
2.62,283
2.63,285
2.64,287
2.65,289
2.66,291
2.67,293
2.68,295
2.69,297
2.70,299
2.71,301
2.72,303
2.73,305
2.74,307
2.75,309
2.76,311
2.77,313
2.78,315
2.79,318
2.80,320
2.81,322
2.82,324
2.83,326
2.84,328
2.85,330
2.86,332
2.87,334
2.88,336
2.89,338
2.90,340
2.91,342
2.92,344
2.93,346
2.94,348
2.95,350
2.96,352
2.97,354
2.98,356
2.99,358
3.00,360
3.01,362
3.02,364
3.03,366
3.04,368
3.05,370
3.06,372
3.07,374
3.08,376
3.09,378
3.10,380
3.11,382
3.12,385
3.13,387
3.14,389
3.15,391
3.16,393
3.17,395
3.18,397
3.19,399
3.20,401
3.21,403
3.22,405
3.23,407
3.24,409
3.25,411
3.26,413
3.27,415
3.28,417
3.29,419
3.30,421
3.31,423
3.32,425
3.33,427
3.34,429
3.35,431
3.36,434
3.37,436
3.38,438
3.39,440
3.40,442
3.41,444
3.42,446
3.43,448
3.44,450
3.45,452
3.46,454
3.47,456
3.48,458
3.49,460
3.50,462
3.51,464
3.52,466
3.53,468
3.54,470
3.55,472
3.56,475
3.57,477
3.58,479
3.59,481
3.60,483
3.61,485
3.62,487
3.63,489
3.64,491
3.65,493
3.66,495
3.67,497
3.68,499
3.69,501
3.70,503
3.71,505
3.72,507
3.73,510
3.74,512
3.75,514
3.76,516
3.77,518
3.78,520
3.79,522
3.80,524
3.81,526
3.82,528
3.83,530
3.84,532
3.85,534
3.86,536
3.87,538
3.88,540
3.89,543
3.90,545
3.91,547
3.92,549
3.93,551
3.94,553
3.95,555
3.96,557
3.97,559
3.98,561
3.99,563
4.00,565
4.01,567
4.02,569
4.03,571
4.04,574
4.05,576
4.06,578
4.07,580
4.08,582
4.09,584
4.10,586
4.11,588
4.12,590
4.13,592
4.14,594
4.15,596
4.16,598
4.17,601
4.18,603
4.19,605
4.20,607
4.21,609
4.22,611
4.23,613
4.24,615
4.25,617
4.26,619
4.27,621
4.28,623
4.29,625
4.30,628
4.31,630
4.32,632
4.33,634
4.34,636
4.35,638
4.36,640
4.37,642
4.38,644
4.39,646
