performance,points
0.75,2
0.76,5
0.77,7
0.78,10
0.79,13
0.80,16
0.81,19
0.82,21
0.83,24
0.84,27
0.85,30
0.86,33
0.87,35
0.88,38
0.89,41
0.90,44
0.91,47
0.92,50
0.93,52
0.94,55
0.95,58
0.96,61
0.97,64
0.98,66
0.99,69
1.00,72
1.01,75
1.02,78
1.03,81
1.04,83
1.05,86
1.06,89
1.07,92
1.08,95
1.09,97
1.10,100
1.11,103
1.12,106
1.13,109
1.14,112
1.15,114
1.16,117
1.17,120
1.18,123
1.19,126
1.20,129
1.21,131
1.22,134
1.23,137
1.24,140
1.25,143
1.26,146
1.27,148
1.28,151
1.29,154
1.30,157
1.31,160
1.32,163
1.33,165
1.34,168
1.35,171
1.36,174
1.37,177
1.38,180
1.39,183
1.40,185
1.41,188
1.42,191
1.43,194
1.44,197
1.45,200
1.46,203
1.47,205
1.48,208
1.49,211
1.50,214
1.51,217
1.52,220
1.53,223
1.54,225
1.55,228
1.56,231
1.57,234
1.58,237
1.59,240
1.60,243
1.61,245
1.62,248
1.63,251
1.64,254
1.65,257
1.66,260
1.67,263
1.68,265
1.69,268
1.70,271
1.71,274
1.72,277
1.73,280
1.74,283
1.75,286
1.76,288
1.77,291
1.78,294
1.79,297
1.80,300
1.81,303
1.82,306
1.83,309
1.84,312
1.85,314
1.86,317
1.87,320
1.88,323
1.89,326
1.90,329
1.91,332
1.92,335
1.93,338
1.94,340
1.95,343
1.96,346
1.97,349
1.98,352
1.99,355
2.00,358
2.01,361
2.02,364
2.03,366
2.04,369
2.05,372
2.06,375
2.07,378
2.08,381
2.09,384
2.10,387
2.11,390
2.12,393
2.13,395
2.14,398
2.15,401
2.16,404
2.17,407
2.18,410
2.19,413
2.20,416
2.21,419
2.22,422
2.23,425
2.24,428
2.25,430
2.26,433
2.27,436
2.28,439
2.29,442
2.30,445
2.31,448
2.32,451
2.33,454
2.34,457
2.35,460
2.36,463
2.37,465
2.38,468
2.39,471
2.40,474
2.41,477
2.42,480
2.43,483
2.44,486
2.45,489
2.46,492
2.47,495
2.48,498
2.49,501
2.50,504
2.51,506
2.52,509
2.53,512
2.54,515
2.55,518
2.56,521
2.57,524
2.58,527
2.59,530
2.60,533
2.61,536
2.62,539
2.63,542
2.64,545
2.65,548
2.66,551
2.67,554
2.68,557
2.69,559
2.70,562
2.71,565
2.72,568
2.73,571
2.74,574
2.75,577
2.76,580
2.77,583
2.78,586
2.79,589
2.80,592
2.81,595
2.82,598
2.83,601
2.84,604
2.85,607
2.86,610
2.87,613
2.88,616
2.89,619
2.90,622
2.91,625
2.92,628
2.93,631
2.94,633
2.95,636
2.96,639
2.97,642
2.98,645
2.99,648
3.00,651
3.01,654
3.02,657
3.03,660
3.04,663
3.05,666
3.06,669
3.07,672
3.08,675
3.09,678
3.10,681
3.11,684
3.12,687
3.13,690
3.14,693
3.15,696
3.16,699
3.17,702
3.18,705
3.19,708
3.20,711
3.21,714
3.22,717
3.23,720
3.24,723
3.25,726
3.26,729
3.27,732
3.28,735
3.29,738
3.30,741
3.31,744
3.32,747
3.33,750
3.34,753
3.35,756
3.36,759
3.37,762
3.38,765
3.39,768
3.40,771
3.41,774
3.42,777
3.43,780
3.44,783
3.45,786
3.46,789
3.47,792
3.48,795
3.49,798
3.50,801
3.51,804
3.52,807
3.53,810
3.54,813
3.55,816
3.56,819
3.57,822
3.58,825
3.59,828
3.60,831
3.61,834
3.62,837
3.63,840
3.64,843
3.65,846
3.66,849
3.67,852
3.68,855
3.69,858
3.70,861
3.71,864
3.72,868
3.73,871
3.74,874
3.75,877
3.76,880
3.77,883
3.78,886
3.79,889
3.80,892
3.81,895
3.82,898
3.83,901
3.84,904
3.85,907
3.86,910
3.87,913
3.88,916
3.89,919
3.90,922
3.91,925
3.92,928
3.93,931
3.94,934
3.95,937
3.96,940
3.97,944
3.98,947
3.99,950
4.00,953
4.01,956
4.02,959
4.03,962
4.04,965
4.05,968
4.06,971
4.07,974
4.08,977
4.09,980
4.10,983
4.11,986
4.12,989
4.13,992
4.14,996
4.15,999
4.16,1002
4.17,1005
4.18,1008
4.19,1011
4.20,1014
4.21,1017
4.22,1020
4.23,1023
4.24,1026
4.25,1029
4.26,1032
4.27,1035
4.28,1038
4.29,1042
4.30,1045
4.31,1048
4.32,1051
4.33,1054
4.34,1057
4.35,1060
4.36,1063
4.37,1066
4.38,1069
4.39,1072
4.40,1075
4.41,1079
4.42,1082
4.43,1085
4.44,1088
4.45,1091
4.46,1094
4.47,1097
4.48,1100
4.49,1103
4.50,1106
4.51,1109
4.52,1113
4.53,1116
4.54,1119
4.55,1122
4.56,1125
4.57,1128
4.58,1131
4.59,1134
4.60,1137
4.61,1140
4.62,1143
4.63,1147
4.64,1150
4.65,1153
4.66,1156
4.67,1159
4.68,1162
4.69,1165
4.70,1168
4.71,1171
4.72,1175
4.73,1178
4.74,1181
4.75,1184
4.76,1187
4.77,1190
4.78,1193
4.79,1196
4.80,1199
4.81,1203
4.82,1206
4.83,1209
4.84,1212
4.85,1215
4.86,1218
4.87,1221
4.88,1224
4.89,1228
4.90,1231
4.91,1234
4.92,1237
4.93,1240
4.94,1243
4.95,1246
4.96,1249
4.97,1253
4.98,1256
4.99,1259
5.00,1262
5.01,1265
5.02,1268
5.03,1271
5.04,1274
5.05,1278
5.06,1281
5.07,1284
5.08,1287
5.09,1290
5.10,1293
5.11,1296
5.12,1300
5.13,1303
5.14,1306
5.15,1309
5.16,1312
5.17,1315
5.18,1318
5.19,1322
5.20,1325
5.21,1328
5.22,1331
5.23,1334
5.24,1337
5.25,1340
5.26,1344
5.27,1347
5.28,1350
5.29,1353
5.30,1356
5.31,1359
5.32,1362
5.33,1366
5.34,1369
5.35,1372
5.36,1375
5.37,1378
5.38,1381
5.39,1385
5.40,1388
5.41,1391
5.42,1394
5.43,1397
5.44,1400
