performance,points
0.45,1
0.47,2
0.48,3
0.50,4
0.52,5
0.54,6
0.55,7
0.57,8
0.59,9
0.60,10
0.62,11
0.64,12
0.65,13
0.67,14
0.69,15
0.70,16
0.72,17
0.74,18
0.75,19
0.77,20
0.79,21
0.81,22
0.82,23
0.84,24
0.86,25
0.87,26
0.89,27
0.91,28
0.92,29
0.94,30
0.96,31
0.97,32
0.99,33
1.01,34
1.02,35
1.04,36
1.06,37
1.08,38
1.09,39
1.11,40
1.13,41
1.14,42
1.16,43
1.18,44
1.19,45
1.21,46
1.23,47
1.24,48
1.26,49
1.28,50
1.29,51
1.31,52
1.33,53
1.35,54
1.36,55
1.38,56
1.40,57
1.41,58
1.43,59
1.45,60
1.46,61
1.48,62
1.50,63
1.51,64
1.53,65
1.55,66
1.56,67
1.58,68
1.60,69
1.62,70
1.63,71
1.65,72
1.67,73
1.68,74
1.70,75
1.72,76
1.73,77
1.75,78
1.77,79
1.78,80
1.80,81
1.82,82
1.83,83
1.85,84
1.87,85
1.88,86
1.90,87
1.92,88
1.94,89
1.95,90
1.97,91
1.99,92
2.00,93
2.02,94
2.04,95
2.05,96
2.07,97
2.09,98
2.10,99
2.12,100
2.14,101
2.15,102
2.17,103
2.19,104
2.20,105
2.22,106
2.24,107
2.26,108
2.27,109
2.29,110
2.31,111
2.32,112
2.34,113
2.36,114
2.37,115
2.39,116
2.41,117
2.42,118
2.44,119
2.46,120
2.47,121
2.49,122
2.51,123
2.52,124
2.54,125
2.56,126
2.58,127
2.59,128
2.61,129
2.63,130
2.64,131
2.66,132
2.68,133
2.69,134
2.71,135
2.73,136
2.74,137
2.76,138
2.78,139
2.79,140
2.81,141
2.83,142
2.84,143
2.86,144
2.88,145
2.89,146
2.91,147
2.93,148
2.95,149
2.96,150
2.98,151
3.00,152
3.01,153
3.03,154
3.05,155
3.06,156
3.08,157
3.10,158
3.11,159
3.13,160
3.15,161
3.16,162
3.18,163
3.20,164
3.21,165
3.23,166
3.25,167
3.26,168
3.28,169
3.30,170
3.32,171
3.33,172
3.35,173
3.37,174
3.38,175
3.40,176
3.42,177
3.43,178
3.45,179
3.47,180
3.48,181
3.50,182
3.52,183
3.53,184
3.55,185
3.57,186
3.58,187
3.60,188
3.62,189
3.63,190
3.65,191
3.67,192
3.69,193
3.70,194
3.72,195
3.74,196
3.75,197
3.77,198
3.79,199
3.80,200
3.82,201
3.84,202
3.85,203
3.87,204
3.89,205
3.90,206
3.92,207
3.94,208
3.95,209
3.97,210
3.99,211
4.00,212
4.02,213
4.04,214
4.05,215
4.07,216
4.09,217
4.11,218
4.12,219
4.14,220
4.16,221
4.17,222
4.19,223
4.21,224
4.22,225
4.24,226
4.26,227
4.27,228
4.29,229
4.31,230
4.32,231
4.34,232
4.36,233
4.37,234
4.39,235
4.41,236
4.42,237
4.44,238
4.46,239
4.47,240
4.49,241
4.51,242
4.52,243
4.54,244
4.56,245
4.58,246
4.59,247
4.61,248
4.63,249
4.64,250
4.66,251
4.68,252
4.69,253
4.71,254
4.73,255
4.74,256
4.76,257
4.78,258
4.79,259
4.81,260
4.83,261
4.84,262
4.86,263
4.88,264
4.89,265
4.91,266
4.93,267
4.94,268
4.96,269
4.98,270
4.99,271
5.01,272
5.03,273
5.04,274
5.06,275
5.08,276
5.10,277
5.11,278
5.13,279
5.15,280
5.16,281
5.18,282
5.20,283
5.21,284
5.23,285
5.25,286
5.26,287
5.28,288
5.30,289
5.31,290
5.33,291
5.35,292
5.36,293
5.38,294
5.40,295
5.41,296
5.43,297
5.45,298
5.46,299
5.48,300
5.50,301
5.51,302
5.53,303
5.55,304
5.56,305
5.58,306
5.60,307
5.61,308
5.63,309
5.65,310
5.67,311
5.68,312
5.70,313
5.72,314
5.73,315
5.75,316
5.77,317
5.78,318
5.80,319
5.82,320
5.83,321
5.85,322
5.87,323
5.88,324
5.90,325
5.92,326
5.93,327
5.95,328
5.97,329
5.98,330
6.00,331
6.02,332
6.03,333
6.05,334
6.07,335
6.08,336
6.10,337
6.12,338
6.13,339
6.15,340
6.17,341
6.18,342
6.20,343
6.22,344
6.23,345
6.25,346
6.27,347
6.28,348
6.30,349
6.32,350
6.34,351
6.35,352
6.37,353
6.39,354
6.40,355
6.42,356
6.44,357
6.45,358
6.47,359
6.49,360
6.50,361
6.52,362
6.54,363
6.55,364
6.57,365
6.59,366
6.60,367
6.62,368
6.64,369
6.65,370
6.67,371
6.69,372
6.70,373
6.72,374
6.74,375
6.75,376
6.77,377
6.79,378
6.80,379
6.82,380
6.84,381
6.85,382
6.87,383
6.89,384
6.90,385
6.92,386
6.94,387
6.95,388
6.97,389
6.99,390
7.00,391
7.02,392
7.04,393
7.05,394
7.07,395
7.09,396
7.10,397
7.12,398
7.14,399
7.15,400
7.17,401
7.19,402
7.21,403
7.22,404
7.24,405
7.26,406
7.27,407
7.29,408
7.31,409
7.32,410
7.34,411
7.36,412
7.37,413
7.39,414
7.41,415
7.42,416
7.44,417
7.46,418
7.47,419
7.49,420
7.51,421
7.52,422
7.54,423
7.56,424
7.57,425
7.59,426
7.61,427
7.62,428
7.64,429
7.66,430
7.67,431
7.69,432
7.71,433
7.72,434
7.74,435
7.76,436
7.77,437
7.79,438
7.81,439
7.82,440
7.84,441
7.86,442
7.87,443
7.89,444
7.91,445
7.92,446
7.94,447
7.96,448
7.97,449
7.99,450
8.01,451
8.02,452
8.04,453
8.06,454
8.07,455
8.09,456
8.11,457
8.12,458
8.14,459
8.16,460
8.17,461
8.19,462
8.21,463
8.22,464
8.24,465
8.26,466
8.27,467
8.29,468
8.31,469
8.32,470
8.34,471
8.36,472
8.37,473
8.39,474
8.41,475
8.42,476
8.44,477
8.46,478
8.47,479
8.49,480
8.51,481
8.52,482
8.54,483
8.56,484
8.57,485
8.59,486
8.61,487
8.62,488
8.64,489
8.66,490
8.67,491
8.69,492
8.71,493
8.72,494
8.74,495
8.76,496
8.77,497
8.79,498
8.81,499
8.82,500
8.84,501
8.86,502
8.87,503
8.89,504
8.91,505
8.92,506
8.94,507
8.96,508
8.97,509
8.99,510
9.01,511
9.02,512
9.04,513
9.06,514
9.07,515
9.09,516
9.11,517
9.12,518
9.14,519
9.16,520
9.17,521
9.19,522
9.21,523
9.22,524
9.24,525
9.26,526
9.27,527
9.29,528
9.31,529
9.32,530
9.34,531
9.36,532
9.37,533
9.39,534
9.41,535
9.42,536
9.44,537
9.46,538
9.47,539
9.49,540
9.51,541
9.52,542
9.54,543
9.56,544
9.57,545
9.59,546
9.61,547
9.62,548
9.64,549
9.66,550
9.67,551
9.69,552
9.71,553
9.72,554
9.74,555
9.76,556
9.77,557
9.79,558
9.81,559
9.82,560
9.84,561
9.86,562
9.87,563
9.89,564
9.91,565
9.92,566
9.94,567
9.96,568
9.97,569
9.99,570
10.01,571
10.02,572
10.04,573
10.06,574
10.07,575
10.09,576
10.11,577
10.12,578
10.14,579
10.16,580
10.17,581
10.19,582
10.21,583
10.22,584
10.24,585
10.26,586
10.27,587
10.29,588
10.31,589
10.32,590
10.34,591
10.36,592
10.37,593
10.39,594
10.41,595
10.42,596
10.44,597
10.46,598
10.47,599
10.49,600
10.51,601
10.52,602
10.54,603
10.56,604
10.57,605
10.59,606
10.61,607
10.62,608
10.64,609
10.66,610
10.67,611
10.69,612
10.71,613
10.72,614
10.74,615
10.76,616
10.77,617
10.79,618
10.81,619
10.82,620
10.84,621
10.86,622
10.87,623
10.89,624
10.91,625
10.92,626
10.94,627
10.96,628
10.97,629
10.99,630
11.01,631
11.02,632
11.04,633
11.06,634
11.07,635
