performance,points
2.54,1
2.55,2
2.56,3
2.57,4
2.58,5
2.59,6
2.60,7
2.61,8
2.62,9
2.63,10
2.64,11
2.66,12
2.67,13
2.68,14
2.69,15
2.70,16
2.71,17
2.72,18
2.73,19
2.74,20
2.75,21
2.76,22
2.78,23
2.79,24
2.80,25
2.81,26
2.82,27
2.83,28
2.84,29
2.85,30
2.86,31
2.87,32
2.89,33
2.90,34
2.91,35
2.92,36
2.93,37
2.94,38
2.95,39
2.96,40
2.97,41
2.98,42
2.99,43
3.01,44
3.02,45
3.03,46
3.04,47
3.05,48
3.06,49
3.07,50
3.08,51
3.09,52
3.10,53
3.11,54
3.13,55
3.14,56
3.15,57
3.16,58
3.17,59
3.18,60
3.19,61
3.20,62
3.21,63
3.22,64
3.23,65
3.25,66
3.26,67
3.27,68
3.28,69
3.29,70
3.30,71
3.31,72
3.32,73
3.33,74
3.34,75
3.35,76
3.36,77
3.38,78
3.39,79
3.40,80
3.41,81
3.42,82
3.43,83
3.44,84
3.45,85
3.46,86
3.47,87
3.48,88
3.50,89
3.51,90
3.52,91
3.53,92
3.54,93
3.55,94
3.56,95
3.57,96
3.58,97
3.59,98
3.60,99
3.61,100
3.63,101
3.64,102
3.65,103
3.66,104
3.67,105
3.68,106
3.69,107
3.70,108
3.71,109
3.72,110
3.73,111
3.75,112
3.76,113
3.77,114
3.78,115
3.79,116
3.80,117
3.81,118
3.82,119
3.83,120
3.84,121
3.85,122
3.86,123
3.88,124
3.89,125
3.90,126
3.91,127
3.92,128
3.93,129
3.94,130
3.95,131
3.96,132
3.97,133
3.98,134
3.99,135
4.00,136
4.02,137
4.03,138
4.04,139
4.05,140
4.06,141
4.07,142
4.08,143
4.09,144
4.10,145
4.11,146
4.12,147
4.13,148
4.15,149
4.16,150
4.17,151
4.18,152
4.19,153
4.20,154
4.21,155
4.22,156
4.23,157
4.24,158
4.25,159
4.26,160
4.27,161
4.29,162
4.30,163
4.31,164
4.32,165
4.33,166
4.34,167
4.35,168
4.36,169
4.37,170
4.38,171
4.39,172
4.40,173
4.42,174
4.43,175
4.44,176
4.45,177
4.46,178
4.47,179
4.48,180
4.49,181
4.50,182
4.51,183
4.52,184
4.53,185
4.54,186
4.56,187
4.57,188
4.58,189
4.59,190
4.60,191
4.61,192
4.62,193
4.63,194
4.64,195
4.65,196
4.66,197
4.67,198
4.68,199
4.69,200
4.71,201
4.72,202
4.73,203
4.74,204
4.75,205
4.76,206
4.77,207
4.78,208
4.79,209
4.80,210
4.81,211
4.82,212
4.83,213
4.85,214
4.86,215
4.87,216
4.88,217
4.89,218
4.90,219
4.91,220
4.92,221
4.93,222
4.94,223
4.95,224
4.96,225
4.97,226
4.98,227
5.00,228
5.01,229
5.02,230
5.03,231
5.04,232
5.05,233
5.06,234
5.07,235
5.08,236
5.09,237
5.10,238
5.11,239
5.12,240
5.13,241
5.15,242
5.16,243
5.17,244
5.18,245
5.19,246
5.20,247
5.21,248
5.22,249
5.23,250
5.24,251
5.25,252
5.26,253
5.27,254
5.28,255
5.30,256
5.31,257
5.32,258
5.33,259
5.34,260
5.35,261
5.36,262
5.37,263
5.38,264
5.39,265
5.40,266
5.41,267
5.42,268
5.43,269
5.44,270
5.46,271
5.47,272
5.48,273
5.49,274
5.50,275
5.51,276
5.52,277
5.53,278
5.54,279
5.55,280
5.56,281
5.57,282
5.58,283
5.59,284
5.60,285
5.62,286
5.63,287
5.64,288
5.65,289
5.66,290
5.67,291
5.68,292
5.69,293
5.70,294
5.71,295
5.72,296
5.73,297
5.74,298
5.75,299
5.76,300
5.78,301
5.79,302
5.80,303
5.81,304
5.82,305
5.83,306
5.84,307
5.85,308
5.86,309
5.87,310
5.88,311
5.89,312
5.90,313
5.91,314
5.92,315
5.93,316
5.95,317
5.96,318
5.97,319
5.98,320
5.99,321
6.00,322
6.01,323
6.02,324
6.03,325
6.04,326
6.05,327
6.06,328
6.07,329
6.08,330
6.09,331
6.10,332
6.12,333
6.13,334
6.14,335
6.15,336
6.16,337
6.17,338
6.18,339
6.19,340
6.20,341
6.21,342
6.22,343
6.23,344
6.24,345
6.25,346
6.26,347
6.27,348
6.29,349
6.30,350
6.31,351
6.32,352
6.33,353
6.34,354
6.35,355
6.36,356
6.37,357
6.38,358
6.39,359
6.40,360
6.41,361
6.42,362
6.43,363
6.44,364
6.45,365
6.47,366
6.48,367
6.49,368
6.50,369
6.51,370
6.52,371
6.53,372
6.54,373
6.55,374
6.56,375
6.57,376
6.58,377
6.59,378
6.60,379
6.61,380
6.62,381
6.63,382
6.65,383
6.66,384
6.67,385
6.68,386
6.69,387
6.70,388
6.71,389
6.72,390
6.73,391
6.74,392
6.75,393
6.76,394
6.77,395
6.78,396
6.79,397
6.80,398
6.81,399
6.82,400
6.84,401
6.85,402
6.86,403
6.87,404
6.88,405
6.89,406
6.90,407
6.91,408
6.92,409
6.93,410
6.94,411
6.95,412
6.96,413
6.97,414
6.98,415
6.99,416
7.00,417
7.01,418
7.02,419
7.04,420
7.05,421
7.06,422
7.07,423
7.08,424
7.09,425
7.10,426
7.11,427
7.12,428
7.13,429
7.14,430
7.15,431
7.16,432
7.17,433
7.18,434
7.19,435
7.20,436
7.21,437
7.22,438
7.24,439
7.25,440
7.26,441
7.27,442
7.28,443
7.29,444
7.30,445
7.31,446
7.32,447
7.33,448
7.34,449
7.35,450
7.36,451
7.37,452
7.38,453
7.39,454
7.40,455
7.41,456
7.42,457
7.43,458
7.45,459
7.46,460
7.47,461
7.48,462
7.49,463
7.50,464
7.51,465
7.52,466
7.53,467
7.54,468
7.55,469
7.56,470
7.57,471
7.58,472
7.59,473
7.60,474
7.61,475
7.62,476
7.63,477
7.64,478
7.65,479
7.67,480
7.68,481
7.69,482
7.70,483
7.71,484
7.72,485
7.73,486
7.74,487
7.75,488
7.76,489
7.77,490
7.78,491
7.79,492
7.80,493
7.81,494
7.82,495
7.83,496
7.84,497
7.85,498
7.86,499
7.87,500
7.88,501
7.90,502
7.91,503
7.92,504
7.93,505
7.94,506
7.95,507
7.96,508
7.97,509
7.98,510
7.99,511
8.00,512
8.01,513
8.02,514
8.03,515
8.04,516
8.05,517
8.06,518
8.07,519
8.08,520
8.09,521
8.10,522
8.11,523
8.13,524
8.14,525
8.15,526
8.16,527
8.17,528
8.18,529
8.19,530
8.20,531
8.21,532
8.22,533
8.23,534
8.24,535
8.25,536
8.26,537
8.27,538
8.28,539
8.29,540
8.30,541
8.31,542
8.32,543
8.33,544
8.34,545
8.35,546
8.36,547
8.38,548
8.39,549
8.40,550
8.41,551
8.42,552
8.43,553
8.44,554
8.45,555
8.46,556
8.47,557
8.48,558
8.49,559
8.50,560
8.51,561
8.52,562
8.53,563
8.54,564
8.55,565
8.56,566
8.57,567
8.58,568
8.59,569
8.60,570
8.61,571
8.62,572
8.63,573
8.65,574
8.66,575
8.67,576
8.68,577
8.69,578
8.70,579
8.71,580
8.72,581
8.73,582
8.74,583
8.75,584
8.76,585
8.77,586
8.78,587
8.79,588
8.80,589
8.81,590
8.82,591
8.83,592
8.84,593
8.85,594
8.86,595
8.87,596
8.88,597
8.89,598
8.90,599
8.91,600
8.93,601
8.94,602
8.95,603
8.96,604
8.97,605
8.98,606
8.99,607
9.00,608
9.01,609
9.02,610
9.03,611
9.04,612
9.05,613
9.06,614
9.07,615
9.08,616
9.09,617
9.10,618
9.11,619
9.12,620
9.13,621
9.14,622
9.15,623
9.16,624
9.17,625
9.18,626
9.19,627
9.20,628
9.21,629
9.23,630
9.24,631
9.25,632
9.26,633
9.27,634
9.28,635
9.29,636
9.30,637
9.31,638
9.32,639
9.33,640
9.34,641
9.35,642
9.36,643
9.37,644
9.38,645
9.39,646
9.40,647
9.41,648
9.42,649
9.43,650
9.44,651
9.45,652
9.46,653
9.47,654
9.48,655
9.49,656
9.50,657
9.51,658
9.52,659
9.53,660
9.55,661
9.56,662
9.57,663
9.58,664
9.59,665
9.60,666
9.61,667
9.62,668
9.63,669
9.64,670
9.65,671
9.66,672
9.67,673
9.68,674
9.69,675
9.70,676
9.71,677
9.72,678
9.73,679
9.74,680
9.75,681
9.76,682
9.77,683
9.78,684
9.79,685
9.80,686
9.81,687
9.82,688
9.83,689
9.84,690
9.85,691
9.86,692
9.87,693
9.88,694
9.89,695
9.91,696
9.92,697
9.93,698
9.94,699
9.95,700
9.96,701
9.97,702
9.98,703
9.99,704
10.00,705
10.01,706
10.02,707
10.03,708
10.04,709
10.05,710
10.06,711
10.07,712
10.08,713
10.09,714
10.10,715
10.11,716
10.12,717
10.13,718
10.14,719
10.15,720
10.16,721
10.17,722
10.18,723
10.19,724
10.20,725
10.21,726
10.22,727
10.23,728
10.24,729
10.25,730
10.26,731
10.27,732
10.28,733
10.29,734
10.30,735
10.32,736
10.33,737
10.34,738
10.35,739
10.36,740
10.37,741
10.38,742
10.39,743
10.40,744
10.41,745
10.42,746
10.43,747
10.44,748
10.45,749
10.46,750
10.47,751
10.48,752
10.49,753
10.50,754
10.51,755
10.52,756
10.53,757
10.54,758
10.55,759
10.56,760
10.57,761
10.58,762
10.59,763
10.60,764
10.61,765
10.62,766
10.63,767
10.64,768
10.65,769
10.66,770
10.67,771
10.68,772
10.69,773
10.70,774
10.71,775
10.72,776
10.73,777
10.74,778
10.75,779
10.76,780
10.77,781
10.79,782
10.80,783
10.81,784
10.82,785
10.83,786
10.84,787
10.85,788
10.86,789
10.87,790
10.88,791
10.89,792
10.90,793
10.91,794
10.92,795
10.93,796
10.94,797
10.95,798
10.96,799
10.97,800
10.98,801
