performance,points
2021.00,1400
2022.00,1399
2023.00,1398
2025.00,1397
2026.00,1396
2028.00,1395
2029.00,1394
2030.00,1393
2032.00,1392
2033.00,1391
2035.00,1390
2036.00,1389
2037.00,1388
2039.00,1387
2040.00,1386
2042.00,1385
2043.00,1384
2044.00,1383
2046.00,1382
2047.00,1381
2049.00,1380
2050.00,1379
2051.00,1378
2053.00,1377
2054.00,1376
2056.00,1375
2057.00,1374
2058.00,1373
2060.00,1372
2061.00,1371
2063.00,1370
2064.00,1369
2065.00,1368
2067.00,1367
2068.00,1366
2070.00,1365
2071.00,1364
2073.00,1363
2074.00,1362
2075.00,1361
2077.00,1360
2078.00,1359
2080.00,1358
2081.00,1357
2082.00,1356
2084.00,1355
2085.00,1354
2087.00,1353
2088.00,1352
2090.00,1351
2091.00,1350
2092.00,1349
2094.00,1348
2095.00,1347
2097.00,1346
2098.00,1345
2099.00,1344
2101.00,1343
2102.00,1342
2104.00,1341
2105.00,1340
2107.00,1339
2108.00,1338
2109.00,1337
2111.00,1336
2112.00,1335
2114.00,1334
2115.00,1333
2117.00,1332
2118.00,1331
2119.00,1330
2121.00,1329
2122.00,1328
2124.00,1327
2125.00,1326
2127.00,1325
2128.00,1324
2129.00,1323
2131.00,1322
2132.00,1321
2134.00,1320
2135.00,1319
2137.00,1318
2138.00,1317
2139.00,1316
2141.00,1315
2142.00,1314
2144.00,1313
2145.00,1312
2147.00,1311
2148.00,1310
2150.00,1309
2151.00,1308
2152.00,1307
2154.00,1306
2155.00,1305
2157.00,1304
2158.00,1303
2160.00,1302
2161.00,1301
2162.00,1300
2164.00,1299
2165.00,1298
2167.00,1297
2168.00,1296
2170.00,1295
2171.00,1294
2173.00,1293
2174.00,1292
2176.00,1291
2177.00,1290
2178.00,1289
2180.00,1288
2181.00,1287
2183.00,1286
2184.00,1285
2186.00,1284
2187.00,1283
2189.00,1282
2190.00,1281
2192.00,1280
2193.00,1279
2194.00,1278
2196.00,1277
2197.00,1276
2199.00,1275
2200.00,1274
2202.00,1273
2203.00,1272
2205.00,1271
2206.00,1270
2208.00,1269
2209.00,1268
2210.00,1267
2212.00,1266
2213.00,1265
2215.00,1264
2216.00,1263
2218.00,1262
2219.00,1261
2221.00,1260
2222.00,1259
2224.00,1258
2225.00,1257
2227.00,1256
2228.00,1255
2230.00,1254
2231.00,1253
2233.00,1252
2234.00,1251
2235.00,1250
2237.00,1249
2238.00,1248
2240.00,1247
2241.00,1246
2243.00,1245
2244.00,1244
2246.00,1243
2247.00,1242
2249.00,1241
2250.00,1240
2252.00,1239
2253.00,1238
2255.00,1237
2256.00,1236
2258.00,1235
2259.00,1234
2261.00,1233
2262.00,1232
2264.00,1231
2265.00,1230
2267.00,1229
2268.00,1228
2270.00,1227
2271.00,1226
2272.00,1225
2274.00,1224
2275.00,1223
2277.00,1222
2278.00,1221
2280.00,1220
2281.00,1219
2283.00,1218
2284.00,1217
2286.00,1216
2287.00,1215
2289.00,1214
2290.00,1213
2292.00,1212
2293.00,1211
2295.00,1210
2296.00,1209
2298.00,1208
2299.00,1207
2301.00,1206
2302.00,1205
2304.00,1204
2305.00,1203
2307.00,1202
2308.00,1201
2310.00,1200
2311.00,1199
2313.00,1198
2314.00,1197
2316.00,1196
2317.00,1195
2319.00,1194
2320.00,1193
2322.00,1192
2323.00,1191
2325.00,1190
2326.00,1189
2328.00,1188
2329.00,1187
2331.00,1186
2333.00,1185
2334.00,1184
2336.00,1183
2337.00,1182
2339.00,1181
2340.00,1180
2342.00,1179
2343.00,1178
2345.00,1177
2346.00,1176
2348.00,1175
2349.00,1174
2351.00,1173
2352.00,1172
2354.00,1171
2355.00,1170
2357.00,1169
2358.00,1168
2360.00,1167
2361.00,1166
2363.00,1165
2364.00,1164
2366.00,1163
2367.00,1162
2369.00,1161
2371.00,1160
2372.00,1159
2374.00,1158
2375.00,1157
2377.00,1156
2378.00,1155
2380.00,1154
2381.00,1153
2383.00,1152
2384.00,1151
2386.00,1150
2387.00,1149
2389.00,1148
2390.00,1147
2392.00,1146
2394.00,1145
2395.00,1144
2397.00,1143
2398.00,1142
2400.00,1141
2401.00,1140
2403.00,1139
2404.00,1138
2406.00,1137
2407.00,1136
2409.00,1135
2411.00,1134
2412.00,1133
2414.00,1132
2415.00,1131
2417.00,1130
2418.00,1129
2420.00,1128
2421.00,1127
2423.00,1126
2425.00,1125
2426.00,1124
2428.00,1123
2429.00,1122
2431.00,1121
2432.00,1120
2434.00,1119
2435.00,1118
2437.00,1117
2439.00,1116
2440.00,1115
2442.00,1114
2443.00,1113
2445.00,1112
2446.00,1111
2448.00,1110
2449.00,1109
2451.00,1108
2453.00,1107
2454.00,1106
2456.00,1105
2457.00,1104
2459.00,1103
2460.00,1102
2462.00,1101
2464.00,1100
2465.00,1099
2467.00,1098
2468.00,1097
2470.00,1096
2471.00,1095
2473.00,1094
2475.00,1093
2476.00,1092
2478.00,1091
2479.00,1090
2481.00,1089
2482.00,1088
2484.00,1087
2486.00,1086
2487.00,1085
2489.00,1084
2490.00,1083
2492.00,1082
2494.00,1081
2495.00,1080
2497.00,1079
2498.00,1078
2500.00,1077
2501.00,1076
2503.00,1075
2505.00,1074
2506.00,1073
2508.00,1072
2509.00,1071
2511.00,1070
2513.00,1069
2514.00,1068
2516.00,1067
2517.00,1066
2519.00,1065
2521.00,1064
2522.00,1063
2524.00,1062
2525.00,1061
2527.00,1060
2529.00,1059
2530.00,1058
2532.00,1057
2533.00,1056
2535.00,1055
2537.00,1054
2538.00,1053
2540.00,1052
2541.00,1051
2543.00,1050
2545.00,1049
2546.00,1048
2548.00,1047
2549.00,1046
2551.00,1045
2553.00,1044
2554.00,1043
2556.00,1042
2558.00,1041
2559.00,1040
2561.00,1039
2562.00,1038
2564.00,1037
2566.00,1036
2567.00,1035
2569.00,1034
2570.00,1033
2572.00,1032
2574.00,1031
2575.00,1030
2577.00,1029
2579.00,1028
2580.00,1027
2582.00,1026
2583.00,1025
2585.00,1024
2587.00,1023
2588.00,1022
2590.00,1021
2592.00,1020
2593.00,1019
2595.00,1018
2596.00,1017
2598.00,1016
2600.00,1015
2601.00,1014
2603.00,1013
2605.00,1012
2606.00,1011
2608.00,1010
2610.00,1009
2611.00,1008
2613.00,1007
2615.00,1006
2616.00,1005
2618.00,1004
2619.00,1003
2621.00,1002
2623.00,1001
2624.00,1000
2626.00,999
2628.00,998
2629.00,997
2631.00,996
2633.00,995
2634.00,994
2636.00,993
2638.00,992
2639.00,991
2641.00,990
2643.00,989
2644.00,988
2646.00,987
2648.00,986
2649.00,985
2651.00,984
2653.00,983
2654.00,982
2656.00,981
2658.00,980
2659.00,979
2661.00,978
2663.00,977
2664.00,976
2666.00,975
2668.00,974
2669.00,973
2671.00,972
2673.00,971
2674.00,970
2676.00,969
2678.00,968
2679.00,967
2681.00,966
2683.00,965
2684.00,964
2686.00,963
2688.00,962
2689.00,961
2691.00,960
2693.00,959
2694.00,958
2696.00,957
2698.00,956
2699.00,955
2701.00,954
2703.00,953
2704.00,952
2706.00,951
2708.00,950
2710.00,949
2711.00,948
2713.00,947
2715.00,946
2716.00,945
2718.00,944
2720.00,943
2721.00,942
2723.00,941
2725.00,940
2726.00,939
2728.00,938
2730.00,937
2732.00,936
2733.00,935
2735.00,934
2737.00,933
2738.00,932
2740.00,931
2742.00,930
2744.00,929
2745.00,928
2747.00,927
2749.00,926
2750.00,925
2752.00,924
2754.00,923
2756.00,922
2757.00,921
2759.00,920
2761.00,919
2762.00,918
2764.00,917
2766.00,916
2768.00,915
2769.00,914
2771.00,913
2773.00,912
2774.00,911
2776.00,910
2778.00,909
2780.00,908
2781.00,907
2783.00,906
2785.00,905
2787.00,904
2788.00,903
2790.00,902
2792.00,901
2793.00,900
2795.00,899
2797.00,898
2799.00,897
2800.00,896
2802.00,895
2804.00,894
2806.00,893
2807.00,892
2809.00,891
2811.00,890
2813.00,889
2814.00,888
2816.00,887
2818.00,886
2820.00,885
2821.00,884
2823.00,883
2825.00,882
2827.00,881
2828.00,880
2830.00,879
2832.00,878
2834.00,877
2835.00,876
2837.00,875
2839.00,874
2841.00,873
2842.00,872
2844.00,871
2846.00,870
2848.00,869
2850.00,868
2851.00,867
2853.00,866
2855.00,865
2857.00,864
2858.00,863
2860.00,862
2862.00,861
2864.00,860
2866.00,859
2867.00,858
2869.00,857
2871.00,856
2873.00,855
2874.00,854
2876.00,853
2878.00,852
2880.00,851
2882.00,850
2883.00,849
2885.00,848
2887.00,847
2889.00,846
2891.00,845
2892.00,844
2894.00,843
2896.00,842
2898.00,841
2899.00,840
2901.00,839
2903.00,838
2905.00,837
2907.00,836
2908.00,835
2910.00,834
2912.00,833
2914.00,832
2916.00,831
2918.00,830
2919.00,829
2921.00,828
2923.00,827
2925.00,826
2927.00,825
2928.00,824
2930.00,823
2932.00,822
2934.00,821
2936.00,820
2937.00,819
2939.00,818
2941.00,817
2943.00,816
2945.00,815
2947.00,814
2948.00,813
2950.00,812
2952.00,811
2954.00,810
2956.00,809
2958.00,808
2959.00,807
2961.00,806
2963.00,805
2965.00,804
2967.00,803
2969.00,802
2970.00,801
2972.00,800
2974.00,799
2976.00,798
2978.00,797
2980.00,796
2981.00,795
2983.00,794
2985.00,793
2987.00,792
2989.00,791
2991.00,790
2993.00,789
2994.00,788
2996.00,787
2998.00,786
3000.00,785
3002.00,784
3004.00,783
3006.00,782
3007.00,781
3009.00,780
3011.00,779
3013.00,778
3015.00,777
3017.00,776
3019.00,775
3021.00,774
3022.00,773
3024.00,772
3026.00,771
3028.00,770
3030.00,769
3032.00,768
3034.00,767
3036.00,766
3037.00,765
3039.00,764
3041.00,763
3043.00,762
3045.00,761
3047.00,760
3049.00,759
3051.00,758
3053.00,757
3054.00,756
3056.00,755
3058.00,754
3060.00,753
3062.00,752
3064.00,751
3066.00,750
3068.00,749
3070.00,748
3072.00,747
3073.00,746
3075.00,745
3077.00,744
3079.00,743
3081.00,742
3083.00,741
3085.00,740
3087.00,739
3089.00,738
3091.00,737
3093.00,736
3095.00,735
3096.00,734
3098.00,733
3100.00,732
3102.00,731
3104.00,730
3106.00,729
3108.00,728
3110.00,727
3112.00,726
3114.00,725
3116.00,724
3118.00,723
3120.00,722
3122.00,721
3124.00,720
3125.00,719
3127.00,718
3129.00,717
3131.00,716
3133.00,715
3135.00,714
3137.00,713
3139.00,712
3141.00,711
3143.00,710
3145.00,709
3147.00,708
3149.00,707
3151.00,706
3153.00,705
3155.00,704
3157.00,703
3159.00,702
3161.00,701
3163.00,700
3165.00,699
3167.00,698
3169.00,697
3170.00,696
3172.00,695
3174.00,694
3176.00,693
3178.00,692
3180.00,691
3182.00,690
3184.00,689
3186.00,688
3188.00,687
3190.00,686
3192.00,685
3194.00,684
3196.00,683
3198.00,682
3200.00,681
3202.00,680
3204.00,679
3206.00,678
3208.00,677
3210.00,676
3212.00,675
3214.00,674
3216.00,673
3218.00,672
3220.00,671
3222.00,670
3224.00,669
3226.00,668
3228.00,667
3230.00,666
3232.00,665
3234.00,664
3236.00,663
3238.00,662
3241.00,661
3243.00,660
3245.00,659
3247.00,658
3249.00,657
3251.00,656
3253.00,655
3255.00,654
3257.00,653
3259.00,652
3261.00,651
3263.00,650
3265.00,649
3267.00,648
3269.00,647
3271.00,646
3273.00,645
3275.00,644
3277.00,643
3279.00,642
3281.00,641
3283.00,640
3285.00,639
3288.00,638
3290.00,637
3292.00,636
3294.00,635
3296.00,634
3298.00,633
3300.00,632
3302.00,631
3304.00,630
3306.00,629
3308.00,628
3310.00,627
3312.00,626
3314.00,625
3317.00,624
3319.00,623
3321.00,622
3323.00,621
3325.00,620
3327.00,619
3329.00,618
3331.00,617
3333.00,616
3335.00,615
3338.00,614
3340.00,613
3342.00,612
3344.00,611
3346.00,610
3348.00,609
3350.00,608
3352.00,607
3354.00,606
3357.00,605
3359.00,604
3361.00,603
3363.00,602
3365.00,601
3367.00,600
3369.00,599
3371.00,598
3374.00,597
3376.00,596
3378.00,595
3380.00,594
3382.00,593
3384.00,592
3386.00,591
3388.00,590
3391.00,589
3393.00,588
3395.00,587
3397.00,586
3399.00,585
3401.00,584
3404.00,583
3406.00,582
3408.00,581
3410.00,580
3412.00,579
3414.00,578
3417.00,577
3419.00,576
3421.00,575
3423.00,574
3425.00,573
3427.00,572
3430.00,571
3432.00,570
3434.00,569
3436.00,568
3438.00,567
3440.00,566
3443.00,565
3445.00,564
3447.00,563
3449.00,562
3451.00,561
3454.00,560
3456.00,559
3458.00,558
3460.00,557
3462.00,556
3465.00,555
3467.00,554
3469.00,553
3471.00,552
3474.00,551
3476.00,550
3478.00,549
3480.00,548
3482.00,547
3485.00,546
3487.00,545
3489.00,544
3491.00,543
3494.00,542
3496.00,541
3498.00,540
3500.00,539
3503.00,538
3505.00,537
3507.00,536
3509.00,535
3512.00,534
3514.00,533
3516.00,532
3518.00,531
3521.00,530
3523.00,529
3525.00,528
3527.00,527
3530.00,526
3532.00,525
3534.00,524
3537.00,523
3539.00,522
3541.00,521
3543.00,520
3546.00,519
3548.00,518
3550.00,517
3553.00,516
3555.00,515
3557.00,514
3559.00,513
3562.00,512
3564.00,511
3566.00,510
3569.00,509
3571.00,508
3573.00,507
3576.00,506
3578.00,505
3580.00,504
3583.00,503
3585.00,502
3587.00,501
3590.00,500
3592.00,499
3594.00,498
3597.00,497
3599.00,496
