performance,points
357.00,1
365.00,2
372.00,3
379.00,4
386.00,5
393.00,6
401.00,7
408.00,8
415.00,9
422.00,10
429.00,11
436.00,12
444.00,13
451.00,14
458.00,15
465.00,16
472.00,17
480.00,18
487.00,19
494.00,20
501.00,21
508.00,22
515.00,23
523.00,24
530.00,25
537.00,26
544.00,27
551.00,28
559.00,29
566.00,30
573.00,31
580.00,32
587.00,33
594.00,34
602.00,35
609.00,36
616.00,37
623.00,38
630.00,39
637.00,40
645.00,41
652.00,42
659.00,43
666.00,44
673.00,45
680.00,46
688.00,47
695.00,48
702.00,49
709.00,50
716.00,51
723.00,52
731.00,53
738.00,54
745.00,55
752.00,56
759.00,57
766.00,58
774.00,59
781.00,60
788.00,61
795.00,62
802.00,63
809.00,64
816.00,65
824.00,66
831.00,67
838.00,68
845.00,69
852.00,70
859.00,71
866.00,72
874.00,73
881.00,74
888.00,75
895.00,76
902.00,77
909.00,78
916.00,79
924.00,80
931.00,81
938.00,82
945.00,83
952.00,84
959.00,85
966.00,86
974.00,87
981.00,88
988.00,89
995.00,90
1002.00,91
1009.00,92
1016.00,93
1023.00,94
1031.00,95
1038.00,96
1045.00,97
1052.00,98
1059.00,99
1066.00,100
1073.00,101
1081.00,102
1088.00,103
1095.00,104
1102.00,105
1109.00,106
1116.00,107
1123.00,108
1130.00,109
1137.00,110
1145.00,111
1152.00,112
1159.00,113
1166.00,114
1173.00,115
1180.00,116
1187.00,117
1194.00,118
1202.00,119
1209.00,120
1216.00,121
1223.00,122
1230.00,123
1237.00,124
1244.00,125
1251.00,126
1258.00,127
1266.00,128
1273.00,129
1280.00,130
1287.00,131
1294.00,132
1301.00,133
1308.00,134
1315.00,135
1322.00,136
1329.00,137
1337.00,138
1344.00,139
1351.00,140
1358.00,141
1365.00,142
1372.00,143
1379.00,144
1386.00,145
1393.00,146
1400.00,147
1408.00,148
1415.00,149
1422.00,150
1429.00,151
1436.00,152
1443.00,153
1450.00,154
1457.00,155
1464.00,156
1471.00,157
1478.00,158
1485.00,159
1493.00,160
1500.00,161
1507.00,162
1514.00,163
1521.00,164
1528.00,165
1535.00,166
1542.00,167
1549.00,168
1556.00,169
1563.00,170
1570.00,171
1578.00,172
1585.00,173
1592.00,174
1599.00,175
1606.00,176
1613.00,177
1620.00,178
1627.00,179
1634.00,180
1641.00,181
1648.00,182
1655.00,183
1662.00,184
1669.00,185
1677.00,186
1684.00,187
1691.00,188
1698.00,189
1705.00,190
1712.00,191
1719.00,192
1726.00,193
1733.00,194
1740.00,195
1747.00,196
1754.00,197
1761.00,198
1768.00,199
1775.00,200
1782.00,201
1789.00,202
1797.00,203
1804.00,204
1811.00,205
1818.00,206
1825.00,207
1832.00,208
1839.00,209
1846.00,210
1853.00,211
1860.00,212
1867.00,213
1874.00,214
1881.00,215
1888.00,216
1895.00,217
1902.00,218
1909.00,219
1916.00,220
1923.00,221
1930.00,222
1938.00,223
1945.00,224
1952.00,225
1959.00,226
1966.00,227
1973.00,228
1980.00,229
1987.00,230
1994.00,231
2001.00,232
2008.00,233
2015.00,234
2022.00,235
2029.00,236
2036.00,237
2043.00,238
2050.00,239
2057.00,240
2064.00,241
2071.00,242
2078.00,243
2085.00,244
2092.00,245
2099.00,246
2106.00,247
2113.00,248
2120.00,249
2127.00,250
2134.00,251
2141.00,252
2148.00,253
2155.00,254
2162.00,255
2170.00,256
2177.00,257
2184.00,258
2191.00,259
2198.00,260
2205.00,261
2212.00,262
2219.00,263
2226.00,264
2233.00,265
2240.00,266
2247.00,267
2254.00,268
2261.00,269
2268.00,270
2275.00,271
2282.00,272
2289.00,273
2296.00,274
2303.00,275
2310.00,276
2317.00,277
2324.00,278
2331.00,279
