performance,points
1.47,1
1.54,2
1.61,3
1.67,4
1.74,5
1.81,6
1.88,7
1.94,8
2.01,9
2.08,10
2.15,11
2.21,12
2.28,13
2.35,14
2.42,15
2.48,16
2.55,17
2.62,18
2.68,19
2.75,20
2.82,21
2.89,22
2.95,23
3.02,24
3.09,25
3.16,26
3.22,27
3.29,28
3.36,29
3.43,30
3.49,31
3.56,32
3.63,33
3.69,34
3.76,35
3.83,36
3.90,37
3.96,38
4.03,39
4.10,40
4.17,41
4.23,42
4.30,43
4.37,44
4.43,45
4.50,46
4.57,47
4.64,48
4.70,49
4.77,50
4.84,51
4.91,52
4.97,53
5.04,54
5.11,55
5.17,56
5.24,57
5.31,58
5.38,59
5.44,60
5.51,61
5.58,62
5.65,63
5.71,64
5.78,65
5.85,66
5.91,67
5.98,68
6.05,69
6.12,70
6.18,71
6.25,72
6.32,73
6.39,74
6.45,75
6.52,76
6.59,77
6.65,78
6.72,79
6.79,80
6.86,81
6.92,82
6.99,83
7.06,84
7.12,85
7.19,86
7.26,87
7.33,88
7.39,89
7.46,90
7.53,91
7.60,92
7.66,93
7.73,94
7.80,95
7.86,96
7.93,97
8.00,98
8.07,99
8.13,100
8.20,101
8.27,102
8.33,103
8.40,104
8.47,105
8.54,106
8.60,107
8.67,108
8.74,109
8.80,110
8.87,111
8.94,112
9.01,113
9.07,114
9.14,115
9.21,116
9.27,117
9.34,118
9.41,119
9.48,120
9.54,121
9.61,122
9.68,123
9.74,124
9.81,125
9.88,126
9.95,127
10.01,128
10.08,129
10.15,130
10.21,131
10.28,132
10.35,133
10.42,134
10.48,135
10.55,136
10.62,137
10.68,138
10.75,139
10.82,140
10.89,141
10.95,142
11.02,143
11.09,144
11.15,145
11.22,146
11.29,147
11.36,148
11.42,149
11.49,150
11.56,151
11.62,152
11.69,153
11.76,154
11.83,155
11.89,156
11.96,157
12.03,158
12.09,159
12.16,160
12.23,161
12.30,162
12.36,163
12.43,164
12.50,165
12.56,166
12.63,167
12.70,168
12.76,169
12.83,170
12.90,171
12.97,172
13.03,173
13.10,174
13.17,175
13.23,176
13.30,177
13.37,178
13.44,179
13.50,180
13.57,181
13.64,182
13.70,183
13.77,184
13.84,185
13.91,186
13.97,187
14.04,188
14.11,189
14.17,190
14.24,191
14.31,192
14.37,193
14.44,194
14.51,195
14.58,196
14.64,197
14.71,198
14.78,199
14.84,200
14.91,201
14.98,202
15.04,203
15.11,204
15.18,205
15.25,206
15.31,207
15.38,208
15.45,209
15.51,210
15.58,211
15.65,212
15.71,213
15.78,214
15.85,215
15.92,216
15.98,217
16.05,218
16.12,219
16.18,220
16.25,221
16.32,222
16.38,223
16.45,224
16.52,225
16.59,226
16.65,227
16.72,228
16.79,229
16.85,230
16.92,231
16.99,232
17.05,233
17.12,234
17.19,235
17.26,236
17.32,237
17.39,238
17.46,239
17.52,240
