performance,points
1.57,1
1.64,2
1.71,3
1.78,4
1.86,5
1.93,6
2.00,7
2.07,8
2.15,9
2.22,10
2.29,11
2.37,12
2.44,13
2.51,14
2.58,15
2.66,16
2.73,17
2.80,18
2.87,19
2.95,20
3.02,21
3.09,22
3.17,23
3.24,24
3.31,25
3.38,26
3.46,27
3.53,28
3.60,29
3.67,30
3.75,31
3.82,32
3.89,33
3.97,34
4.04,35
4.11,36
4.18,37
4.26,38
4.33,39
4.40,40
4.47,41
4.55,42
4.62,43
4.69,44
4.76,45
4.84,46
4.91,47
4.98,48
5.06,49
5.13,50
5.20,51
5.27,52
5.35,53
5.42,54
5.49,55
5.56,56
5.64,57
5.71,58
5.78,59
5.85,60
5.93,61
6.00,62
6.07,63
6.15,64
6.22,65
6.29,66
6.36,67
6.44,68
6.51,69
6.58,70
6.65,71
6.73,72
6.80,73
6.87,74
6.94,75
7.02,76
7.09,77
7.16,78
7.23,79
7.31,80
7.38,81
7.45,82
7.53,83
7.60,84
7.67,85
7.74,86
7.82,87
7.89,88
7.96,89
8.03,90
8.11,91
8.18,92
8.25,93
8.32,94
8.40,95
8.47,96
8.54,97
8.61,98
8.69,99
8.76,100
8.83,101
8.90,102
8.98,103
9.05,104
9.12,105
9.19,106
9.27,107
9.34,108
9.41,109
9.48,110
9.56,111
9.63,112
9.70,113
9.78,114
9.85,115
9.92,116
9.99,117
10.07,118
10.14,119
10.21,120
10.28,121
10.36,122
10.43,123
10.50,124
10.57,125
10.65,126
10.72,127
10.79,128
10.86,129
10.94,130
11.01,131
11.08,132
11.15,133
11.23,134
11.30,135
11.37,136
11.44,137
11.52,138
11.59,139
11.66,140
11.73,141
11.81,142
11.88,143
11.95,144
12.02,145
12.10,146
12.17,147
12.24,148
12.31,149
12.39,150
12.46,151
12.53,152
12.60,153
12.68,154
12.75,155
12.82,156
12.89,157
12.97,158
13.04,159
13.11,160
13.18,161
13.26,162
13.33,163
13.40,164
13.47,165
13.55,166
13.62,167
13.69,168
13.76,169
13.83,170
13.91,171
13.98,172
14.05,173
14.12,174
14.20,175
14.27,176
14.34,177
14.41,178
14.49,179
14.56,180
14.63,181
14.70,182
14.78,183
14.85,184
14.92,185
14.99,186
15.07,187
15.14,188
15.21,189
15.28,190
15.36,191
15.43,192
15.50,193
15.57,194
15.65,195
15.72,196
15.79,197
15.86,198
15.94,199
16.01,200
16.08,201
16.15,202
16.22,203
16.30,204
16.37,205
16.44,206
16.51,207
16.59,208
16.66,209
16.73,210
16.80,211
16.88,212
16.95,213
17.02,214
17.09,215
17.17,216
17.24,217
17.31,218
17.38,219
17.46,220
17.53,221
17.60,222
17.67,223
17.74,224
17.82,225
17.89,226
17.96,227
18.03,228
18.11,229
18.18,230
18.25,231
18.32,232
18.40,233
18.47,234
18.54,235
18.61,236
18.68,237
18.76,238
18.83,239
18.90,240
18.97,241
19.05,242
19.12,243
19.19,244
19.26,245
19.34,246
19.41,247
19.48,248
19.55,249
19.63,250
19.70,251
19.77,252
19.84,253
19.91,254
19.99,255
20.06,256
20.13,257
20.20,258
20.28,259
20.35,260
20.42,261
20.49,262
20.56,263
20.64,264
20.71,265
20.78,266
20.85,267
20.93,268
21.00,269
21.07,270
21.14,271
21.22,272
21.29,273
21.36,274
21.43,275
21.50,276
21.58,277
21.65,278
21.72,279
21.79,280
21.87,281
21.94,282
22.01,283
22.08,284
22.15,285
22.23,286
22.30,287
22.37,288
22.44,289
22.52,290
22.59,291
22.66,292
22.73,293
22.80,294
22.88,295
22.95,296
23.02,297
23.09,298
23.17,299
23.24,300
23.31,301
23.38,302
23.45,303
23.53,304
23.60,305
23.67,306
23.74,307
23.82,308
23.89,309
23.96,310
24.03,311
24.10,312
24.18,313
24.25,314
24.32,315
24.39,316
24.47,317
24.54,318
24.61,319
24.68,320
24.75,321
24.83,322
24.90,323
24.97,324
25.04,325
25.12,326
25.19,327
25.26,328
25.33,329
25.40,330
25.48,331
25.55,332
25.62,333
25.69,334
25.76,335
25.84,336
25.91,337
25.98,338
26.05,339
26.13,340
26.20,341
26.27,342
26.34,343
26.41,344
26.49,345
26.56,346
26.63,347
26.70,348
26.77,349
26.85,350
26.92,351
26.99,352
27.06,353
27.14,354
27.21,355
27.28,356
27.35,357
27.42,358
27.50,359
27.57,360
27.64,361
27.71,362
27.78,363
27.86,364
27.93,365
28.00,366
28.07,367
28.14,368
28.22,369
28.29,370
28.36,371
28.43,372
28.50,373
28.58,374
28.65,375
28.72,376
28.79,377
28.87,378
28.94,379
29.01,380
29.08,381
29.15,382
29.23,383
29.30,384
29.37,385
29.44,386
29.51,387
29.59,388
29.66,389
29.73,390
29.80,391
29.87,392
29.95,393
30.02,394
30.09,395
30.16,396
30.23,397
30.31,398
30.38,399
30.45,400
30.52,401
30.59,402
30.67,403
30.74,404
30.81,405
30.88,406
30.95,407
31.03,408
31.10,409
31.17,410
31.24,411
31.31,412
31.39,413
31.46,414
31.53,415
31.60,416
31.68,417
31.75,418
31.82,419
31.89,420
31.96,421
32.04,422
32.11,423
32.18,424
32.25,425
32.32,426
32.40,427
32.47,428
32.54,429
32.61,430
32.68,431
32.75,432
32.83,433
32.90,434
32.97,435
33.04,436
33.11,437
33.19,438
33.26,439
33.33,440
33.40,441
33.47,442
33.55,443
33.62,444
33.69,445
33.76,446
33.83,447
33.91,448
33.98,449
34.05,450
34.12,451
34.19,452
34.27,453
34.34,454
34.41,455
34.48,456
34.55,457
34.63,458
34.70,459
34.77,460
34.84,461
34.91,462
34.99,463
35.06,464
35.13,465
35.20,466
35.27,467
35.35,468
35.42,469
35.49,470
35.56,471
35.63,472
35.70,473
35.78,474
35.85,475
35.92,476
35.99,477
36.06,478
36.14,479
36.21,480
36.28,481
36.35,482
36.42,483
36.50,484
36.57,485
36.64,486
36.71,487
36.78,488
36.86,489
36.93,490
37.00,491
37.07,492
37.14,493
37.21,494
37.29,495
37.36,496
37.43,497
37.50,498
37.57,499
37.65,500
37.72,501
37.79,502
37.86,503
37.93,504
38.00,505
38.08,506
38.15,507
38.22,508
38.29,509
38.36,510
38.44,511
38.51,512
38.58,513
38.65,514
38.72,515
38.80,516
38.87,517
38.94,518
39.01,519
39.08,520
39.15,521
39.23,522
39.30,523
39.37,524
39.44,525
39.51,526
39.59,527
39.66,528
39.73,529
39.80,530
39.87,531
39.94,532
40.02,533
40.09,534
40.16,535
40.23,536
40.30,537
40.38,538
40.45,539
40.52,540
40.59,541
40.66,542
40.73,543
40.81,544
40.88,545
40.95,546
41.02,547
41.09,548
41.16,549
41.24,550
41.31,551
41.38,552
41.45,553
41.52,554
41.60,555
41.67,556
41.74,557
41.81,558
41.88,559
41.95,560
42.03,561
42.10,562
42.17,563
42.24,564
42.31,565
42.38,566
42.46,567
42.53,568
42.60,569
42.67,570
42.74,571
42.82,572
42.89,573
42.96,574
43.03,575
43.10,576
43.17,577
43.25,578
43.32,579
43.39,580
43.46,581
43.53,582
43.60,583
43.68,584
43.75,585
43.82,586
43.89,587
43.96,588
44.03,589
44.11,590
44.18,591
44.25,592
44.32,593
44.39,594
44.46,595
44.54,596
44.61,597
44.68,598
44.75,599
44.82,600
44.89,601
44.97,602
45.04,603
45.11,604
45.18,605
45.25,606
45.32,607
45.40,608
45.47,609
45.54,610
45.61,611
45.68,612
45.75,613
45.83,614
45.90,615
45.97,616
46.04,617
46.11,618
46.18,619
46.26,620
46.33,621
46.40,622
46.47,623
46.54,624
46.61,625
46.69,626
46.76,627
46.83,628
46.90,629
46.97,630
47.04,631
