performance,points
2723.00,1400
2725.00,1399
2727.00,1398
2729.00,1397
2730.00,1396
2732.00,1395
2734.00,1394
2735.00,1393
2737.00,1392
2739.00,1391
2740.00,1390
2742.00,1389
2744.00,1388
2745.00,1387
2747.00,1386
2749.00,1385
2750.00,1384
2752.00,1383
2754.00,1382
2756.00,1381
2757.00,1380
2759.00,1379
2761.00,1378
2762.00,1377
2764.00,1376
2766.00,1375
2767.00,1374
2769.00,1373
2771.00,1372
2773.00,1371
2774.00,1370
2776.00,1369
2778.00,1368
2779.00,1367
2781.00,1366
2783.00,1365
2784.00,1364
2786.00,1363
2788.00,1362
2790.00,1361
2791.00,1360
2793.00,1359
2795.00,1358
2796.00,1357
2798.00,1356
2800.00,1355
2802.00,1354
2803.00,1353
2805.00,1352
2807.00,1351
2808.00,1350
2810.00,1349
2812.00,1348
2814.00,1347
2815.00,1346
2817.00,1345
2819.00,1344
2820.00,1343
2822.00,1342
2824.00,1341
2826.00,1340
2827.00,1339
2829.00,1338
2831.00,1337
2832.00,1336
2834.00,1335
2836.00,1334
2838.00,1333
2839.00,1332
2841.00,1331
2843.00,1330
2845.00,1329
2846.00,1328
2848.00,1327
2850.00,1326
2851.00,1325
2853.00,1324
2855.00,1323
2857.00,1322
2858.00,1321
2860.00,1320
2862.00,1319
2864.00,1318
2865.00,1317
2867.00,1316
2869.00,1315
2871.00,1314
2872.00,1313
2874.00,1312
2876.00,1311
2877.00,1310
2879.00,1309
2881.00,1308
2883.00,1307
2884.00,1306
2886.00,1305
2888.00,1304
2890.00,1303
2891.00,1302
2893.00,1301
2895.00,1300
2897.00,1299
2898.00,1298
2900.00,1297
2902.00,1296
2904.00,1295
2905.00,1294
2907.00,1293
2909.00,1292
2911.00,1291
2912.00,1290
2914.00,1289
2916.00,1288
2918.00,1287
2919.00,1286
2921.00,1285
2923.00,1284
2925.00,1283
2926.00,1282
2928.00,1281
2930.00,1280
2932.00,1279
2934.00,1278
2935.00,1277
2937.00,1276
2939.00,1275
2941.00,1274
2942.00,1273
2944.00,1272
2946.00,1271
2948.00,1270
2949.00,1269
2951.00,1268
2953.00,1267
2955.00,1266
2956.00,1265
2958.00,1264
2960.00,1263
2962.00,1262
2964.00,1261
2965.00,1260
2967.00,1259
2969.00,1258
2971.00,1257
2972.00,1256
2974.00,1255
2976.00,1254
2978.00,1253
2980.00,1252
2981.00,1251
2983.00,1250
2985.00,1249
2987.00,1248
2988.00,1247
2990.00,1246
2992.00,1245
2994.00,1244
2996.00,1243
2997.00,1242
2999.00,1241
3001.00,1240
3003.00,1239
3005.00,1238
3006.00,1237
