performance,points
3411.00,1400
3413.00,1399
3415.00,1398
3417.00,1397
3419.00,1396
3421.00,1395
3423.00,1394
3425.00,1393
3428.00,1392
3430.00,1391
3432.00,1390
3434.00,1389
3436.00,1388
3438.00,1387
3440.00,1386
3443.00,1385
3445.00,1384
3447.00,1383
3449.00,1382
3451.00,1381
3453.00,1380
3455.00,1379
3458.00,1378
3460.00,1377
3462.00,1376
3464.00,1375
3466.00,1374
3468.00,1373
3470.00,1372
3473.00,1371
3475.00,1370
3477.00,1369
3479.00,1368
3481.00,1367
3483.00,1366
3485.00,1365
3488.00,1364
3490.00,1363
3492.00,1362
3494.00,1361
3496.00,1360
3498.00,1359
3500.00,1358
3503.00,1357
3505.00,1356
3507.00,1355
3509.00,1354
3511.00,1353
3513.00,1352
3516.00,1351
3518.00,1350
3520.00,1349
3522.00,1348
3524.00,1347
3526.00,1346
3529.00,1345
3531.00,1344
3533.00,1343
3535.00,1342
3537.00,1341
3539.00,1340
3542.00,1339
3544.00,1338
3546.00,1337
3548.00,1336
3550.00,1335
3552.00,1334
3555.00,1333
3557.00,1332
3559.00,1331
3561.00,1330
3563.00,1329
3566.00,1328
3568.00,1327
3570.00,1326
3572.00,1325
3574.00,1324
3576.00,1323
3579.00,1322
3581.00,1321
3583.00,1320
3585.00,1319
3587.00,1318
3590.00,1317
3592.00,1316
3594.00,1315
3596.00,1314
3598.00,1313
